Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2025-05-02,27.6,28.74,27.6,27.98,1526874,,,,,,,
2025-05-05,28.3,28.74,27.6,28.52,1168827,,,,,,,
2025-05-06,29.0,29.5,28.5,28.79,2330838,,,,,,,
2025-05-07,26.04,28.24,26.04,27.13,2896610,,,,,,,
2025-05-08,27.31,28.24,24.42,24.99,2077568,,,,,,,
2025-05-09,24.81,26.69,24.1,26.42,1387044,,,,,,,
2025-05-12,29.06,29.06,29.0,29.06,988881,,,,,,,
2025-05-13,31.0,31.0,28.46,28.63,2823558,,,,,,,
2025-05-14,28.88,29.9,28.3,28.64,4747186,,,,,,,
2025-05-15,28.97,29.43,28.51,28.74,2381344,,,,,,,
2025-05-16,29.0,29.33,28.45,28.64,1975714,,,,,,,
2025-05-19,28.78,29.68,28.32,28.78,2781737,,,,,,,
2025-05-20,28.65,29.48,28.58,28.99,2376729,,,,,,,
2025-05-21,29.0,29.35,28.8,28.93,1833950,,,,,,,54.881808838643366
2025-05-22,29.08,29.6,28.5,28.79,3835149,,,,,,,54.10334346504559
2025-05-23,28.73,29.0,28.6,28.68,730725,,,,,,,50.847457627118644
2025-05-26,28.7,28.8,28.0,28.19,1097044,,,,,,,46.894409937888206
2025-05-27,28.19,28.48,27.9,28.33,1011366,,,,,,,57.37100737100737
2025-05-29,28.5,28.99,28.3,28.69,2397467,,,,,,,79.08805031446546
2025-05-30,28.69,28.8,28.35,28.45,754403,,,28.2685,1.0004539759003097,26.26759204819938,30.26940795180062,69.63249516441007
2026-05-04,32.48,32.89,31.5,32.01,1087123,,,28.47,1.3002186051017084,25.869562789796582,31.070437210203416,74.22003284072252
