Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2025-05-02,132.45,137.61,129.0,137.61,1178930,,,,,,,
2025-05-05,139.0,151.37,136.5,151.37,2235610,,,,,,,
2025-05-06,155.0,158.99,146.0,146.63,1484571,,,,,,,
2025-05-07,132.55,141.9,131.97,135.01,1352155,,,,,,,
2025-05-08,136.56,142.5,121.51,122.42,1305701,,,,,,,
2025-05-09,123.01,132.0,117.0,129.29,1285313,,,,,,,
2025-05-12,142.22,142.22,140.0,142.22,564703,,,,,,,
2025-05-13,144.98,156.44,141.0,154.48,1838323,,,,,,,
2025-05-14,158.98,159.0,151.01,153.2,1004050,,,,,,,
2025-05-15,152.98,155.0,150.07,152.75,500176,,,,,,,
2025-05-16,152.85,168.03,152.0,168.03,2912058,,,,,,,
2025-05-19,173.0,176.0,166.3,172.42,4437348,,,,,,,
2025-05-20,172.55,183.9,171.0,174.0,5369526,,,,,,,
2025-05-21,176.0,180.0,174.0,176.1,1759428,,,,,,,69.27391086629945
2025-05-22,176.3,193.71,176.0,184.9,5591643,,,,,,,71.76254026691211
2025-05-23,186.0,194.9,182.3,185.09,3630065,,,,,,,67.73243584350021
2025-05-26,184.1,185.55,179.06,180.08,1301390,,,,,,,67.54063974829577
2025-05-27,180.9,192.45,179.0,186.51,3179070,,,,,,,78.56033717834961
2025-05-29,185.0,194.0,185.0,188.66,1613334,,,,,,,91.54540893125943
2025-05-30,190.45,192.99,183.5,184.47,2147449,,,161.262,21.27215046165192,118.71769907669616,203.80630092330384,85.81256490134997
2026-05-04,133.0,143.0,133.0,141.75,310906,,,161.469,21.048849674782208,119.37130065043559,203.5666993495644,49.78002433773285
