Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2016-05-04,20.7,20.89,20.2,20.3,4675000,,,,,,,
2016-05-05,20.3,20.79,20.3,20.45,4471500,,,,,,,
2016-05-06,20.6,20.79,20.38,20.44,4126000,,,,,,,
2016-05-09,20.58,21.46,20.58,21.46,13639000,,,,,,,
2016-05-10,21.48,22.11,21.2,21.42,11433500,,,,,,,
2016-05-11,21.85,21.85,20.9,21.0,6230000,,,,,,,
2016-05-12,21.3,21.75,21.05,21.38,8515500,,,,,,,
2016-05-13,21.5,21.98,21.4,21.5,6611000,,,,,,,
2016-05-16,21.68,21.84,21.41,21.58,4251500,,,,,,,
2016-05-17,21.85,22.1,21.51,21.63,7785500,,,,,,,
2016-05-18,21.8,22.71,21.55,22.71,19932000,,,,,,,
2016-05-19,23.0,23.84,23.0,23.84,12532500,,,,,,,
2016-05-20,24.4,24.85,23.63,24.06,21317000,,,,,,,
2016-05-23,24.1,24.35,23.51,23.72,10050500,,,,,,,83.92857142857144
2016-05-24,23.9,24.35,23.66,23.75,9609000,,,,,,,84.02366863905327
2016-05-25,24.24,24.27,23.5,23.62,7163000,,,,,,,81.38613861386142
2016-05-26,23.78,23.95,22.71,22.88,8687500,,,,,,,71.10726643598613
2016-05-27,22.8,23.99,22.75,22.88,13801000,,,,,,,64.9159663865546
2016-05-30,22.95,23.21,22.15,22.27,5564500,,,,,,,57.97373358348966
2016-05-31,22.33,22.55,21.35,21.77,5827000,,,22.133,1.2226205677280164,19.687758864543966,24.578241135456032,57.11645101663586
2016-06-01,21.99,22.73,21.78,22.57,5258500,,,22.2465,1.146497067731003,19.953505864537995,24.539494135462007,60.20583190394512
2016-06-02,22.7,22.94,22.3,22.37,4421500,,,22.3425,1.0656891765672722,20.211121646865458,24.473878353134545,57.36040609137057
2016-06-03,22.53,22.63,22.03,22.13,2794000,,,22.427,0.9695636566056538,20.48787268678869,24.366127313211308,54.530477759472824
2016-06-06,22.13,22.45,22.0,22.24,2555000,,,22.466,0.9439692234055314,20.578061553188938,24.353938446811064,54.97553017944535
2016-06-07,22.3,22.3,21.32,21.88,849500,,,22.488999999999997,0.9225017472526601,20.643996505494677,24.334003494505318,42.32902033271718
2016-06-08,21.73,22.2,21.73,22.05,2736000,,,22.5415,0.861139239306678,20.819221521386645,24.263778478613354,29.887640449438223
2016-06-09,22.32,22.84,22.26,22.47,6746000,,,22.596,0.8171284766598337,20.961743046680333,24.230256953319667,32.90322580645163
2016-06-10,22.48,22.57,21.54,21.69,2010500,,,22.6055,0.8047260076376432,20.99604798472471,24.214952015275287,30.05893909626721
2016-06-13,21.6,21.6,21.06,21.34,1693500,,,22.5935,0.8224179690336737,20.94866406193265,24.238335938067348,27.726432532347502
2016-06-14,21.34,21.76,21.34,21.49,1319500,,,22.586499999999997,0.8315950115037329,20.92330997699253,24.249690023007464,30.386740331491694
2016-06-15,21.8,21.95,21.57,21.69,2289500,,,22.5355,0.85458192302312,20.826336153953758,24.24466384604624,37.832310838445835
