Date,Open,High,Low,Close,Volume
2018-06-25,9.05,9.05,9.05,9.05,86000
2018-06-26,8.05,8.25,8.05,8.05,1068500
2018-06-27,7.5,8.85,7.05,8.68,8203000
2018-06-28,8.16,9.49,8.16,9.22,4151500
2018-06-29,9.24,9.4,8.76,8.82,748500
2018-07-02,8.65,8.95,7.82,7.82,743500
2018-07-03,7.6,8.7,7.36,8.55,3130500
2018-07-04,8.28,8.35,7.55,7.55,2338500
2018-07-05,7.2,8.05,6.95,7.85,2298000
2018-07-06,7.55,7.9,7.31,7.72,1855000
2018-07-09,7.9,7.91,6.72,6.72,1010000
2018-07-10,6.3,6.3,5.72,5.88,3957500
2018-07-11,5.65,6.5,5.52,5.66,2655000
2018-07-12,5.36,6.27,5.0,6.15,4889500
2018-07-13,6.09,6.25,5.15,5.81,5473000
2018-07-16,5.42,5.85,4.81,4.82,5571000
