Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2025-05-02,22.4,22.75,22.25,22.34,427668,,,,,,,
2025-05-05,22.4,22.8,22.02,22.48,347250,,,,,,,
2025-05-06,22.6,23.0,22.45,22.52,829665,,,,,,,
2025-05-07,20.61,21.75,20.51,21.16,1005975,,,,,,,
2025-05-08,21.5,22.0,19.04,19.75,2647655,,,,,,,
2025-05-09,19.75,20.65,18.51,20.01,2550352,,,,,,,
2025-05-12,21.49,22.01,21.44,22.0,1846584,,,,,,,
2025-05-13,22.48,22.48,21.02,21.54,1735666,,,,,,,
2025-05-14,21.8,22.4,21.47,21.61,4717127,,,,,,,
2025-05-15,21.89,23.0,21.8,21.96,6768328,,,,,,,
2025-05-16,22.08,24.16,21.97,24.16,11096341,,,,,,,
2025-05-19,24.74,24.74,23.56,23.72,4661771,,,,,,,
2025-05-20,23.71,23.85,23.2,23.35,1985226,,,,,,,
2025-05-21,23.35,23.85,23.15,23.51,902170,,,,,,,56.32432432432434
2025-05-22,23.81,24.34,23.27,23.42,2516850,,,,,,,55.78158458244113
2025-05-23,23.5,23.66,23.2,23.41,627478,,,,,,,55.04885993485341
2025-05-26,23.53,23.7,23.05,23.16,628834,,,,,,,53.397027600849256
2025-05-27,23.51,23.8,23.06,23.42,1795353,,,,,,,63.581730769230774
2025-05-29,23.51,24.99,23.5,23.86,3061453,,,,,,,77.95918367346937
2025-05-30,23.87,24.45,23.6,24.07,1660234,,,22.572499999999998,1.2771756463301933,20.018148707339613,25.126851292660383,77.80821917808218
2026-05-04,21.75,22.18,21.66,21.96,2108211,,,22.553500000000003,1.2836267493235514,19.986246501352902,25.120753498647105,49.73045822102427
