Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2016-05-04,7.92,7.92,7.74,7.75,267000,,,,,,,
2016-05-05,7.8,8.1,7.75,8.02,2443000,,,,,,,
2016-05-06,8.16,8.16,7.88,7.91,811500,,,,,,,
2016-05-09,7.97,8.1,7.85,7.91,720500,,,,,,,
2016-05-10,7.95,7.97,7.76,7.8,898500,,,,,,,
2016-05-11,7.79,7.9,7.6,7.65,535000,,,,,,,
2016-05-12,7.7,8.15,7.7,8.06,2655000,,,,,,,
2016-05-13,8.12,8.89,8.1,8.4,8222500,,,,,,,
2016-05-16,8.6,8.62,8.25,8.32,2180000,,,,,,,
2016-05-17,8.46,8.89,8.37,8.65,3911500,,,,,,,
2016-05-18,8.74,9.55,8.74,9.32,12189000,,,,,,,
2016-05-19,9.5,9.68,9.16,9.3,5916000,,,,,,,
2016-05-20,9.4,9.41,8.96,9.02,2626000,,,,,,,
2016-05-23,9.0,9.28,9.0,9.11,1300000,,,,,,,73.77622377622377
2016-05-24,9.2,9.3,9.09,9.12,722000,,,,,,,73.86759581881533
2016-05-25,9.2,9.3,9.0,9.01,1107500,,,,,,,68.26568265682658
2016-05-26,9.1,9.14,8.7,8.77,539500,,,,,,,65.14084507042253
2016-05-27,8.75,8.85,8.51,8.61,318500,,,,,,,61.66666666666666
2016-05-30,8.61,8.75,8.1,8.24,414500,,,,,,,56.74846625766872
2016-05-31,8.09,8.6,8.09,8.48,865000,,,8.4725,0.547596422655648,7.377307154688705,9.567692845311296,62.388059701492544
2016-06-01,8.6,8.7,8.4,8.67,578000,,,8.5185,0.5217407603902838,7.475018479219432,9.561981520780567,59.74440894568689
2016-06-02,8.7,8.74,8.45,8.49,439000,,,8.542,0.5085231454650655,7.524953709069869,9.55904629093013,51.515151515151516
2016-06-03,8.46,8.58,8.25,8.29,351500,,,8.561,0.4904444815406573,7.5801110369186855,9.541888963081314,49.514563106796096
2016-06-06,8.27,8.54,8.25,8.3,692000,,,8.580499999999999,0.4705481126471441,7.639403774705711,9.521596225294287,43.68231046931409
2016-06-07,8.27,8.45,8.02,8.13,475500,,,8.597000000000001,0.44693223317705727,7.703135533645887,9.490864466354116,23.78854625550663
2016-06-08,8.16,8.3,8.0,8.05,352000,,,8.617,0.4097251967381371,7.797549606523726,9.436450393476274,23.175965665236077
2016-06-09,8.1,8.2,7.66,7.74,600500,,,8.601,0.4379004933832149,7.725199013233571,9.476800986766431,22.88135593220342
2016-06-10,7.61,7.8,7.5,7.56,299500,,,8.559000000000001,0.49478224875616783,7.569435502487665,9.548564497512336,18.367346938775526
2016-06-13,7.48,7.67,7.3,7.61,294000,,,8.5235,0.5365413115011446,7.450417376997711,9.59658262300229,19.678714859437804
2016-06-14,7.69,7.8,7.6,7.6,426000,,,8.471,0.5736026499241438,7.323794700151712,9.618205299848288,20.502092050209257
2016-06-15,7.7,7.82,7.63,7.77,664500,,,8.3935,0.5573364758998113,7.278827048200377,9.508172951799622,28.448275862068996
2016-06-16,7.63,7.7,7.52,7.63,170500,,,8.309999999999999,0.5391806649664691,7.231638670067061,9.388361329932938,28.69565217391309
2016-06-17,7.52,7.78,7.52,7.6,114500,,,8.239,0.5342372821922952,7.17052543561541,9.307474564384592,33.67346938775512
2016-06-20,7.54,7.55,7.45,7.49,115000,,,8.158,0.5177847551170063,7.122430489765987,9.193569510234012,22.95081967213119
2016-06-21,7.64,7.64,7.3,7.33,311000,,,8.0685,0.49703621598430714,7.0744275680313855,9.062572431968615,12.777777777777871
2016-06-22,7.3,7.34,7.02,7.08,260000,,,7.9719999999999995,0.4919520729758757,6.9880958540482485,8.95590414595175,12.299465240641808
