Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2016-05-04,157.0,158.75,152.55,153.39,508000,,,,,,,
2016-05-05,155.0,158.88,153.0,156.96,690500,,,,,,,
2016-05-06,158.4,159.8,154.7,155.67,535600,,,,,,,
2016-05-09,156.0,157.25,154.1,154.71,278700,,,,,,,
2016-05-10,155.02,159.8,153.0,156.71,503000,,,,,,,
2016-05-11,158.9,159.8,156.5,156.74,326700,,,,,,,
2016-05-12,157.65,157.9,154.2,154.71,199100,,,,,,,
2016-05-13,154.5,156.0,154.0,154.31,168200,,,,,,,
2016-05-16,155.37,155.75,153.01,153.31,84800,,,,,,,
2016-05-17,153.75,155.5,152.25,152.55,195900,,,,,,,
2016-05-18,153.4,154.5,152.05,152.64,154100,,,,,,,
2016-05-19,153.25,155.5,152.5,152.85,319900,,,,,,,
2016-05-20,153.8,154.0,149.0,149.91,257500,,,,,,,
2016-05-23,149.88,151.2,148.7,150.46,159000,,,,,,,40.745420088439744
2016-05-24,150.99,157.98,150.15,157.62,1271500,,,,,,,59.199652022618565
2016-05-25,158.97,161.98,157.55,159.27,1396400,,,,,,,55.481727574750835
2016-05-26,160.5,160.99,158.5,159.09,374300,,,,,,,58.567134268537124
2016-05-27,160.5,166.55,160.5,161.06,1072200,,,,,,,65.14067715784452
2016-05-30,161.95,164.0,158.6,159.61,346900,,,,,,,57.10088148873655
2016-05-31,159.5,161.25,156.75,157.49,128300,,,155.453,3.0860127570770177,149.28097448584597,161.62502551415403,51.665926254997785
2017-05-02,272.0,274.95,259.12,260.51,147500,,,160.80900000000003,23.66423971000614,113.48052057998774,208.1374794200123,92.83400809716599
2017-05-03,260.05,264.94,255.99,257.61,107300,,,165.8415,32.027148233137595,101.7872035337248,229.8957964662752,90.99206349206352
2017-05-04,260.0,267.0,260.0,264.79,126400,,,171.2975,38.784840890414095,93.72781821917182,248.86718178082822,92.16976849750343
2017-05-05,269.9,274.5,265.0,266.38,226500,,,176.881,43.96352613845159,88.95394772309682,264.8080522769032,92.79001578828661
2017-05-08,270.99,273.0,267.5,268.59,180700,,,182.475,48.17777151779701,86.11945696440597,278.830543035594,92.90313031895214
2017-05-09,272.0,282.01,270.02,281.71,733500,,,188.7235,52.56838936841678,83.58672126316644,293.86027873683355,93.52202107538504
2017-05-10,284.3,286.0,273.0,276.07,474500,,,194.79149999999998,55.365463325168044,84.0605733496639,305.52242665033606,91.8468886824997
2017-05-11,278.44,281.0,271.53,273.11,186000,,,200.7315,57.13820717072082,86.45508565855837,315.0079143414416,90.04244205027753
2017-05-12,275.0,284.98,275.0,279.72,495800,,,207.052,58.589620834015356,89.87275833196928,324.2312416680307,90.00655307994761
2017-05-15,281.81,283.0,276.0,276.66,136300,,,213.25750000000002,59.08369210169946,95.0901157966011,331.42488420339896,88.11116161288231
2017-05-16,279.0,283.5,272.5,274.01,229400,,,219.32599999999996,58.762063433369754,101.80187313326046,336.85012686673946,86.72034764826176
2017-05-17,276.0,279.0,273.01,274.78,125400,,,225.42250000000004,57.81975767531011,109.78298464937983,341.06201535062024,86.61772282328698
2017-05-18,275.0,279.98,270.0,271.07,120800,,,231.48050000000003,55.80366545921705,119.87316908156593,343.0878309184341,85.3751428208709
2017-05-19,275.0,275.0,270.0,270.79,61200,,,237.497,53.026250907104135,131.44449818579176,343.54950181420827,86.38407193320491
2017-05-22,273.0,275.75,269.0,269.98,61800,,,243.11499999999995,49.982867643771115,143.14926471245772,343.0807352875422,58.85212189194247
2017-05-23,270.01,275.0,270.01,272.45,96400,,,248.77400000000003,46.25872701732251,156.25654596535503,341.291454034645,63.98416886543536
2017-05-24,274.84,274.9,269.0,270.17,95300,,,254.32800000000003,41.32996703043505,171.66806593912992,336.98793406087015,55.585548172757484
2017-05-25,271.88,272.25,267.51,268.12,58400,,,259.681,35.073880355014914,189.53323928997014,329.8287607100298,51.789387083504735
2017-05-26,269.5,269.5,267.21,268.17,45600,,,265.10900000000004,25.99793410820836,213.11313178358333,317.1048682164168,49.54799827808872
2017-05-29,268.15,273.5,267.1,270.74,59900,,,270.7715,5.851404937008648,259.0686901259827,282.4743098740173,34.72570314675578
2017-05-30,271.0,274.99,260.0,265.39,83900,,,271.0155,5.491674536107673,260.03215092778464,281.9988490722153,35.00842223469958
2017-05-31,268.2,270.0,252.9,258.01,91000,,,271.0355,5.440776332957483,260.15394733408505,281.917052665915,31.143856143856098
2018-05-02,228.5,229.51,223.5,224.36,119500,,,269.014,11.743543982255304,245.5269120354894,292.5010879645106,8.735837805605186
2018-05-03,222.1,222.99,213.15,213.17,493800,,,266.35350000000005,17.153110589474533,232.04727882105098,300.6597211789491,7.7915170854938935
2018-05-04,211.5,223.82,209.0,218.15,446900,,,263.8315,20.237693668004912,223.3561126639902,304.3068873360098,13.979881351560465
2018-05-07,195.1,202.93,195.0,202.93,47800,,,259.89250000000004,23.908551844806386,212.07539631038728,307.70960368961283,10.946842048048694
2018-05-08,209.0,213.07,207.55,213.07,508900,,,256.7425,25.74463988667819,205.25322022664363,308.2317797733564,20.534444218654727
2018-05-09,217.8,217.8,204.0,207.63,209600,,,253.4685,27.64693211780142,198.17463576439718,308.76236423560283,19.511488704383083
2018-05-10,208.0,210.3,205.1,206.19,65800,,,249.792,28.83572940860555,192.1205411827889,307.4634588172111,19.39353229056711
2018-05-11,208.0,215.0,204.5,205.83,114200,214.78439999999998,,246.25049999999996,29.69884819226784,186.85280361546427,305.64819638453565,17.37512242899119
2018-05-14,202.0,202.75,195.54,195.54,151700,215.62740000000002,,242.327,30.993630941652672,180.33973811669466,304.31426188330533,16.11116156570702
2018-05-15,194.0,202.99,192.0,198.22,324600,216.4526,,238.49899999999997,31.49825106255903,175.5024978748819,301.49550212511804,18.439588224670416
2018-05-16,199.99,202.0,196.0,196.48,82000,217.2688,,234.76950000000002,31.85262072585651,171.064258548287,298.47474145171304,18.117940051587652
2018-05-17,195.1,196.0,187.06,188.45,28200,217.9436,,230.6525,32.27042427509649,166.11165144980703,295.193348550193,15.09882093476972
2018-05-18,185.2,186.0,180.0,180.83,150900,218.426,,226.19500000000002,32.70640408881802,160.78219182236398,291.60780817763606,14.813581890812273
2018-05-21,179.99,183.99,173.01,175.56,66400,218.80239999999998,,221.35049999999995,32.67017237320207,156.01015525359583,286.6908447464041,15.07835662854724
2018-05-22,175.0,179.49,172.0,176.12,125700,219.2306,,216.648,32.035874233345574,152.57625153330883,280.71974846669116,21.610169491525426
2018-05-23,177.0,178.0,171.05,171.5,104000,219.5744,,211.817,31.13793710842801,149.541125783144,274.09287421685605,23.421354764638366
2018-05-24,168.0,170.5,165.01,166.28,70500,219.8338,,206.7225,29.736324211838536,147.24985157632292,266.1951484236771,17.016405951926743
2018-05-25,166.05,166.05,161.03,162.32,45600,220.02920000000003,,201.30149999999998,27.22839796106834,146.8447040778633,255.75829592213665,19.860472020187018
2018-05-28,160.1,163.99,158.5,161.73,113000,220.21099999999998,,196.11849999999998,24.069663648623937,147.97917270275212,244.25782729724784,5.603597371151864
2018-05-29,166.0,169.81,163.0,169.81,79000,220.55020000000002,,191.7085,19.841799121259495,152.024901757481,231.39209824251898,18.72312272576913
2018-05-30,178.3,178.3,178.3,178.3,6100,221.11800000000002,,189.40550000000002,18.47877031537579,152.44795936924845,226.36304063075158,29.3438009183825
2018-05-31,187.21,187.21,182.21,187.21,282500,221.85299999999998,,188.10750000000002,17.613103338438645,152.88129332312272,223.3337066768773,37.75966342361294
2019-05-02,62.0,62.9,60.6,60.81,104300,219.9168,,180.2405,32.410617733114805,115.41926453377039,245.0617354662296,14.94510069209555
2019-05-03,60.5,63.4,60.35,62.47,271200,217.98080000000002,,173.2175,41.248375645848675,90.72074870830265,255.71425129169734,14.49123724823437
2019-05-06,63.2,65.55,62.5,63.93,310300,216.07760000000002,,165.7605,46.7752410300689,72.21001793986221,259.3109820601378,15.277413946665277
2019-05-07,63.05,64.75,61.0,61.97,142600,214.09579999999997,,158.4775,51.05678540141656,56.36392919716687,260.5910708028331,15.779220779220793
2019-05-08,61.98,62.5,58.88,58.88,114900,212.08120000000002,,151.112,54.33196157347017,42.44807685305966,259.77592314694033,16.1757363954069
2019-05-09,57.5,60.0,55.94,56.43,142000,210.06,,143.642,56.63450804105759,30.37298391788481,256.91101608211517,16.432797971259518
2019-05-10,56.0,56.4,53.8,54.56,65300,205.94100000000003,,136.593,58.575329286762155,19.44234142647568,253.7436585735243,15.999104945177905
2019-05-13,56.2,57.28,51.84,51.84,207900,201.8256,,129.274,59.605785430963735,10.062429138072531,248.48557086192747,16.170982698179344
2019-05-14,51.11,51.51,49.25,49.45,156400,197.5188,,121.92250000000001,59.94667673287462,2.0291465342507706,241.81585346574926,16.433948169855782
2019-05-15,49.1,51.9,49.1,50.74,202100,193.206,,115.03699999999999,59.81168466198929,-4.586369323978587,234.66036932397856,17.442810457516345
2019-05-16,50.98,50.98,48.21,48.21,107200,188.79840000000002,,108.40599999999999,59.48420430757432,-10.562408615148655,227.37440861514864,17.24754760530871
2019-05-17,45.8,46.0,45.8,45.8,38700,184.0802,,101.91799999999999,58.84726408700998,-15.776528174019973,219.61252817401996,13.010797589930206
2019-05-20,43.8,48.09,43.51,48.09,336900,179.5206,,95.51650000000001,57.29376840138513,-19.07103680277025,210.10403680277028,9.669825930743968
2019-05-21,48.74,50.49,47.5,50.49,367200,175.0682,,89.46600000000001,55.19852423656555,-20.931048473131085,199.8630484731311,5.87399948360445
2019-05-22,53.01,53.01,52.02,53.01,169100,170.53400000000002,,83.80250000000001,52.65468898748143,-21.506877974962848,189.11187797496285,37.43556701030927
2019-05-23,55.66,55.66,54.4,55.66,152200,166.11399999999998,,78.4695,49.59626147572413,-20.723022951448257,177.66202295144825,39.36934124258508
2019-05-24,57.0,58.44,55.99,58.44,166900,161.8026,,73.305,45.694306163782045,-18.083612327564083,164.6936123275641,41.76911544227886
2019-05-27,61.0,61.36,59.0,61.35,227900,157.534,,67.88199999999999,39.678279302674255,-11.47455860534852,147.2385586053485,49.096209912536445
2019-05-28,62.0,63.0,58.5,59.12,445000,153.295,,61.923,29.988941312634005,1.9451173747319928,121.90088262526801,50.35885167464114
2019-05-29,59.25,62.07,59.25,61.96,272500,149.1184,,55.6605,5.648410558916528,44.363678882166944,66.95732111783306,58.173219036358255
2019-05-30,63.88,63.99,60.0,60.69,242100,144.9326,,55.6545,5.642713489651078,44.36907302069784,66.93992697930216,59.223593138730045
2020-05-04,55.6,59.75,54.0,58.52,981500,140.654,,55.456999999999994,5.457703488500956,44.541593022998086,66.3724069770019,60.220318237454094
2020-05-05,59.24,61.2,57.8,60.78,671500,136.46620000000001,,55.2995,5.241486806941602,44.8165263861168,65.78247361388321,67.40399385560676
2020-05-06,60.8,61.0,58.9,59.3,218000,132.28979999999999,,55.16600000000001,5.094591972709442,44.97681605458113,65.3551839454189,63.07269395235185
2020-05-07,58.95,58.95,55.56,56.43,187000,128.055,,55.043499999999995,5.029629341786918,44.98424131642616,65.10275868357382,62.424425634824665
2020-05-08,56.5,56.85,55.89,56.34,90000,123.76700000000001,,55.039,5.028363655564901,44.9822726888702,65.0957273111298,67.13263979193758
2020-05-11,57.0,57.44,56.15,56.23,26500,119.5838,,55.1225,5.033853682290664,45.05479263541868,65.19020736458133,64.24072778166548
2020-05-12,56.0,60.1,55.88,58.97,311000,115.603,,55.479000000000006,5.04161930961991,45.395761380760185,65.56223861923982,64.66113416320884
2020-05-13,57.6,59.99,57.5,58.28,236500,112.28139999999999,,55.920500000000004,4.869555772452667,46.18138845509467,65.65961154490535,59.726836471022516
2020-05-14,58.87,59.8,57.65,57.81,62500,109.1742,,56.274,4.728259276884905,46.81748144623019,65.73051855376981,54.31553592934565
2020-05-15,57.65,59.0,57.6,57.92,48000,105.96960000000001,,56.7595,4.339168577889424,48.081162844221154,65.43783715577885,48.83093525179857
2020-05-18,58.7,62.26,58.0,62.24,786500,103.1558,,57.581500000000005,3.657370748153407,50.26675850369319,64.89624149630681,51.881606765327696
2020-05-19,62.9,63.4,59.22,59.78,620500,100.09,,58.166,2.920552218867598,52.3248955622648,64.0071044377352,51.3819095477387
