Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2025-05-02,7.3,7.45,7.11,7.15,2239446,,,,,,,
2025-05-05,7.02,7.14,6.92,7.05,649152,,,,,,,
2025-05-06,7.06,7.15,6.94,6.95,680085,,,,,,,
2025-05-07,6.5,6.79,6.41,6.5,972978,,,,,,,
2025-05-08,6.51,6.94,5.5,5.59,1882448,,,,,,,
2025-05-09,5.8,5.9,5.35,5.85,1475114,,,,,,,
2025-05-12,6.85,6.85,6.27,6.85,1461744,,,,,,,
2025-05-13,7.0,7.25,6.61,7.14,1765670,,,,,,,
2025-05-14,7.28,8.14,6.88,8.14,6264853,,,,,,,
2025-05-15,8.57,9.14,8.4,9.14,2452067,,,,,,,
2025-05-16,9.96,10.14,9.16,9.62,10835084,,,,,,,
2025-05-19,9.62,10.62,9.06,10.62,7904089,,,,,,,
2025-05-20,10.76,10.95,10.4,10.58,4149302,,,,,,,
2025-05-21,10.8,10.8,10.13,10.59,3082775,,,,,,,75.90361445783132
2025-05-22,10.58,11.1,10.3,10.4,7302567,,,,,,,73.79209370424599
2025-05-23,10.31,10.39,9.55,9.83,2370294,,,,,,,69.04109589041096
2025-05-26,9.11,10.83,9.11,10.55,8788266,,,,,,,72.72727272727273
2025-05-27,10.5,10.8,9.8,10.09,3223684,,,,,,,72.63556116015133
2025-05-29,10.25,10.4,10.03,10.16,958163,,,,,,,82.22849083215797
2025-05-30,10.3,10.3,9.91,9.96,516120,,,8.638,1.8062540475277904,5.025491904944419,12.250508095055581,79.23186344238977
2026-05-04,16.48,16.5,16.01,16.17,310932,,,9.089,2.4326440023368114,4.2237119953263775,13.954288004673623,88.07189542483661
