Date,Open,High,Low,Close,Volume
2021-02-01,5.01,6.0,5.01,5.54,5781000
2021-02-02,5.65,5.8,4.95,5.05,3403500
2021-02-03,5.1,5.1,4.65,4.79,3678000
2021-02-04,4.71,4.94,4.37,4.44,3380000
2021-02-08,4.31,4.48,3.82,4.04,1939000
2021-02-09,4.15,4.15,3.87,3.91,977000
2021-02-10,4.0,4.0,3.66,3.7,1769000
2021-02-11,3.87,4.15,3.53,3.63,1654500
2021-02-12,3.79,3.85,3.5,3.64,754000
2021-02-15,3.7,4.42,3.64,4.12,3115500
2021-02-16,4.12,4.25,3.95,4.1,1583000
2021-02-17,4.29,5.1,4.26,5.08,7608000
2021-02-18,5.22,6.03,5.08,5.49,14247500
2021-02-19,5.31,5.9,5.01,5.58,4137500
2021-02-22,5.55,5.85,5.4,5.68,4052500
2021-02-23,5.64,5.64,4.95,5.02,6832000
