Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2021-11-22,12.75,13.61,12.75,13.37,11735000,,,,,,,
2021-11-23,13.3,13.44,12.37,12.37,13013000,,,,,,,
2021-11-24,11.75,12.37,11.51,11.61,13059000,,,,,,,
2021-11-25,11.66,12.1,11.31,11.72,3948000,,,,,,,
2021-11-26,11.79,12.2,11.4,11.91,5594000,,,,,,,
2021-11-29,11.95,12.7,11.86,12.47,7855000,,,,,,,
2021-11-30,12.54,12.65,11.9,12.08,4541000,,,,,,,
2021-12-01,12.05,12.34,11.85,12.0,2433000,,,,,,,
2021-12-02,12.75,12.75,11.2,11.55,17584000,,,,,,,
2021-12-03,11.2,11.94,11.1,11.46,6409000,,,,,,,
2021-12-06,11.69,11.75,10.85,11.17,4064000,,,,,,,
2021-12-07,11.25,11.6,11.23,11.4,3539000,,,,,,,
2021-12-08,11.49,11.53,10.9,11.05,2904500,,,,,,,
2021-12-09,11.1,11.1,10.05,10.23,6718000,,,,,,,20.488721804511314
2021-12-10,10.23,10.23,9.75,9.92,2555000,,,,,,,19.360568383659
2021-12-13,9.82,9.96,9.01,9.08,3093000,,,,,,,19.926873857404047
2021-12-14,9.11,9.45,9.03,9.32,4008500,,,,,,,26.868686868686893
2021-12-15,9.61,10.32,9.6,10.32,4798500,,,,,,,38.01369863013699
2021-12-16,10.54,11.15,10.32,10.78,8189500,,,,,,,40.752864157119475
2021-12-17,10.7,11.09,10.49,10.6,4372000,,,11.2205,1.0812199493846606,9.058060101230678,13.38293989876932,33.68237347294938
2021-12-20,10.7,10.94,10.61,10.68,1997000,,,11.086,0.9603091607448747,9.16538167851025,13.00661832148975,37.08487084870848
2021-12-21,10.56,11.1,10.55,10.63,4148000,,,10.998999999999999,0.9156412765752864,9.167717446849426,12.830282553150571,37.291280148423006
2021-12-22,10.74,10.77,10.43,10.47,2104000,,,10.942,0.9110757089114054,9.11984858217719,12.764151417822811,39.41176470588235
2021-12-23,10.4,10.63,10.35,10.42,1312500,,,10.877,0.898941482786106,9.079117034427789,12.674882965572213,39.72332015810276
2021-12-24,10.42,10.6,10.1,10.16,1502000,,,10.7895,0.8780269447969533,9.033446110406093,12.545553889593908,39.960238568588466
2021-12-27,10.18,10.25,9.5,9.72,2302000,,,10.652000000000001,0.8139998706840696,9.024000258631862,12.27999974136814,33.969465648854964
2021-12-28,9.88,9.88,9.51,9.7,860500,,,10.533,0.766853447880567,8.999293104238866,12.066706895761133,36.25254582484723
2021-12-29,9.8,10.17,9.65,10.03,3181500,,,10.4345,0.6913029269734816,9.051894146053037,11.817105853946963,47.73755656108595
2021-12-30,10.2,10.34,10.05,10.08,1994500,,,10.361,0.6429119609041983,9.075176078191603,11.646823921808398,51.92307692307693
2021-12-31,10.0,10.18,9.81,9.91,1132500,,,10.2835,0.5951052538483355,9.09328949230333,11.473710507696671,61.89111747851003
2022-01-03,10.03,10.4,10.0,10.14,1589000,,,10.232,0.5577454616579117,9.116509076684176,11.347490923315823,61.781609195402304
2022-01-04,10.2,10.7,10.11,10.56,5642500,,,10.19,0.49303570917968276,9.203928581640634,11.176071418359365,54.13793103448277
2022-01-05,10.7,11.12,10.52,10.9,8508000,,,10.182500000000001,0.4802397975573158,9.22202040488537,11.142979595114632,52.15827338129498
2022-01-06,10.93,10.95,10.49,10.53,2041000,,,10.1975,0.48644656762885236,9.224606864742295,11.170393135257704,48.821548821548824
2022-01-07,10.7,10.89,10.3,10.61,1366500,,,10.232,0.4901836390578503,9.251632721884299,11.2123672781157,48.821548821548824
2022-01-10,10.8,11.1,10.6,10.76,2842000,,,10.315999999999999,0.42151855799814913,9.472962884003701,11.159037115996297,52.117263843648196
2022-01-11,10.84,10.9,10.61,10.71,1746500,,,10.3855,0.35854200370535305,9.668415992589294,11.102584007410707,54.054054054054056
2022-01-12,10.68,10.91,10.5,10.59,3474000,,,10.399,0.36102048345444454,9.67695903309111,11.121040966908888,52.805280528052805
2022-01-13,10.68,10.68,10.31,10.4,1742000,,,10.379999999999999,0.3497367430992646,9.68052651380147,11.079473486198529,54.054054054054056
2022-01-14,10.4,10.5,10.23,10.25,987000,,,10.3625,0.3468941139826192,9.668711772034762,11.05628822796524,59.92509363295878
2022-01-17,10.31,10.31,9.91,10.01,1046000,,,10.329,0.3469703460709988,9.635059307858002,11.022940692141999,55.36332179930797
2022-01-18,10.06,10.06,9.8,9.88,1174000,,,10.291500000000001,0.3532000327829713,9.585099934434059,10.997900065565943,47.2118959107807
2022-01-19,10.04,10.16,9.6,9.71,2143500,,,10.253499999999999,0.37329648157716694,9.506907036845664,11.000092963154334,43.41637010676158
2022-01-20,9.71,9.71,9.25,9.54,1966000,,,10.2095,0.40329530776238337,9.402909384475233,11.016090615524767,43.416370106761555
2022-01-21,9.68,9.8,9.45,9.53,960000,,,10.178,0.43101593571711827,9.315968128565764,11.040031871434238,38.223938223938205
2022-01-24,9.45,9.59,9.26,9.35,480000,,,10.1595,0.4587566147522509,9.241986770495497,11.077013229504502,24.255319148936167
