Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2016-05-04,22.5,22.5,22.5,22.5,1000,,,,,,,
2016-05-05,0.0,0.0,0.0,22.5,0,,,,,,,
2016-05-06,23.4,23.4,23.4,23.4,54000,,,,,,,
2016-05-09,22.55,22.95,22.5,22.95,2500,,,,,,,
2016-05-10,0.0,0.0,0.0,22.95,0,,,,,,,
2016-05-11,0.0,0.0,0.0,22.95,0,,,,,,,
2016-05-12,23.2,23.5,23.2,23.5,3000,,,,,,,
2016-05-13,23.75,23.75,23.75,23.75,50000,,,,,,,
2016-05-16,23.74,23.74,22.95,23.0,2000,,,,,,,
2016-05-17,22.7,22.7,22.6,22.65,1000,,,,,,,
2016-05-18,22.7,22.7,22.61,22.61,1500,,,,,,,
2016-05-19,22.75,22.75,22.25,22.25,3500,,,,,,,
2016-05-20,22.99,23.3,22.99,23.27,6000,,,,,,,
2016-05-23,0.0,0.0,0.0,23.27,0,,,,,,,58.2441113490364
2016-05-24,22.6,22.9,22.11,22.5,14000,,,,,,,50.0
2016-05-25,22.98,23.2,22.98,23.0,6500,,,,,,,54.208754208754215
2016-05-26,23.25,23.49,23.25,23.37,1000,,,,,,,49.72273567467654
2016-05-27,23.31,23.48,23.31,23.47,3000,,,,,,,55.13833992094862
2016-05-30,23.8,23.8,23.1,23.55,2000,,,,,,,55.836575875486396
2016-05-31,0.0,0.0,0.0,23.55,0,,,23.049500000000002,0.43689665163574576,22.17570669672851,23.923293303271493,55.836575875486396
2016-06-01,22.5,23.55,22.38,22.38,84000,,,23.0435,0.4455779806522145,22.152344038695574,23.93465596130443,40.27777777777777
2016-06-02,23.2,23.2,21.83,22.03,30500,,,23.02,0.4862855994274623,22.047428801145074,23.992571198854925,35.324232081911276
2016-06-03,22.03,22.03,21.51,21.51,35500,,,22.9255,0.5826479933978378,21.760204013204323,24.090795986795676,36.76731793960925
2016-06-06,21.4,21.5,21.0,21.02,44000,,,22.829,0.7216275464458622,21.385744907108275,24.272255092891726,35.875216637781634
2016-06-07,21.0,21.49,21.0,21.49,2000,,,22.756,0.7802118470747491,21.1955763058505,24.3164236941495,40.96774193548386
