Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2023-05-02,11.05,11.05,11.05,11.05,500,,,,,,,
2023-05-03,11.04,11.05,11.04,11.05,2000000,,,,,,,
2023-05-05,11.04,11.06,11.04,11.06,1003500,,,,,,,
2023-05-08,0.0,0.0,0.0,11.07,0,,,,,,,
2023-05-09,11.1,11.1,11.08,11.08,19000,,,,,,,
2023-05-11,11.1,11.1,11.1,11.1,35500,,,,,,,
2023-05-12,11.11,11.11,11.11,11.11,3500,,,,,,,
2023-05-15,11.13,11.13,11.13,11.13,520000,,,,,,,
2023-05-16,11.13,11.14,11.13,11.14,223500,,,,,,,
2023-05-17,11.15,11.15,11.15,11.15,81000,,,,,,,
2023-05-18,11.16,11.16,11.16,11.16,45500,,,,,,,
2023-05-19,11.16,11.17,11.16,11.17,53000,,,,,,,
2023-05-23,11.19,11.19,11.17,11.17,13000,,,,,,,
2023-05-24,11.19,11.2,11.18,11.2,5005000,,,,,,,100.0
2023-05-25,11.2,11.21,11.19,11.19,1642500,,,,,,,93.75000000000007
2023-05-26,11.22,11.22,11.22,11.22,1000,,,,,,,94.73684210526325
2023-05-29,11.23,11.23,11.23,11.23,44500,,,,,,,94.73684210526325
2023-05-30,11.23,11.25,11.23,11.25,67500,,,,,,,95.00000000000009
2023-05-31,11.25,11.25,11.25,11.25,500,,,,,,,94.73684210526325
2024-05-02,117.97,117.97,117.97,117.97,2500,,,16.4875,23.886590132496824,-31.285680264993648,64.26068026499365,99.9906445878941
2024-05-06,109.12,118.2,109.12,118.2,100600,,,21.845,32.91346285096883,-43.981925701937655,87.67192570193765,99.99066380356642
2024-05-07,118.3,118.3,118.3,118.3,1600,,,27.2075,39.1989067885962,-51.1903135771924,105.60531357719239,99.99067077152719
2024-05-08,118.21,118.21,118.21,118.3,200,,,32.5695,43.92374522366785,-55.2779904473357,120.4169904473357,99.99066990110096
2024-05-09,118.4,118.4,118.3,118.3,195900,,,37.931,47.555612309224486,-57.180224618448975,133.04222461844898,99.99066903051227
2024-05-10,0.0,0.0,0.0,118.3,3600,,,43.291999999999994,50.3318370104063,-57.37167402081261,143.9556740208126,99.9906681597611
2024-05-13,118.4,118.4,118.4,118.4,10000,,,48.657,52.39616539806184,-56.13533079612368,153.44933079612366,99.990675990676
2024-05-14,118.5,118.5,118.5,118.5,1000,,,54.0265,53.82889150622994,-53.631283012459875,161.68428301245987,99.9906846762925
2024-05-15,118.6,118.6,118.5,118.5,2100,,,59.394999999999996,54.67307058660983,-49.95114117321967,168.74114117321966,99.99068207230712
2024-05-16,118.6,118.6,118.6,118.6,10000,,,64.768,54.96077678911715,-45.153553578234295,174.6895535782343,100.0
2024-05-17,118.7,118.8,118.7,118.8,13600,,,70.1505,54.70408129438935,-39.2576625887787,179.5586625887787,100.0
2024-05-20,118.9,119.25,118.9,119.1,130200,,,75.5475,53.896497286343596,-32.24549457268719,183.3404945726872,100.0
2024-05-21,119.2,119.2,119.2,119.2,1000,,,80.949,52.50031086624756,-24.05162173249512,185.94962173249513,100.0
2024-05-22,119.21,119.35,119.15,119.35,177000,,,86.35799999999999,50.46611813880675,-14.574236277613508,187.29023627761347,100.0
2024-05-23,119.4,119.44,119.4,119.44,50500,,,91.77,47.71055902109367,-3.651118042187349,187.19111804218733,100.0
2024-05-24,119.44,119.54,119.44,119.54,6400,,,97.1875,44.09362155507421,9.000256889851585,185.37474311014842,100.0
2024-05-27,119.64,119.64,119.64,119.64,3000,,,102.6085,39.3811741391613,23.8461517216774,181.37084827832263,100.0
2024-05-29,119.7,119.79,119.7,119.73,200800,,,108.0335,33.10363603419132,41.82622793161737,174.24077206838263,100.0
2024-05-30,119.83,119.85,119.75,119.77,60600,,,113.4595,24.064642872458062,65.33021425508389,161.58878574491612,100.0
2025-05-02,116.95,116.95,116.85,116.94,1200,,,118.744,0.7199005779302501,117.3041988441395,120.1838011558605,34.18604651162791
2025-05-05,116.95,116.95,116.95,116.95,100,,,118.69299999999998,0.8083192438628721,117.07636151227425,120.30963848772572,32.77909738717334
