Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2016-05-04,0.0,0.0,0.0,2.85,0,,,,,,,
2016-05-05,0.0,0.0,0.0,2.85,0,,,,,,,
2016-05-06,0.0,0.0,0.0,2.85,0,,,,,,,
2016-05-09,0.0,0.0,0.0,2.85,0,,,,,,,
2016-05-10,2.99,2.99,2.85,2.99,1000,,,,,,,
2016-05-11,0.0,0.0,0.0,2.99,0,,,,,,,
2016-05-12,0.0,0.0,0.0,2.99,0,,,,,,,
2016-05-13,0.0,0.0,0.0,2.99,0,,,,,,,
2016-05-16,0.0,0.0,0.0,2.99,0,,,,,,,
2016-05-17,0.0,0.0,0.0,2.99,0,,,,,,,
2016-05-18,0.0,0.0,0.0,2.99,0,,,,,,,
2016-05-19,0.0,0.0,0.0,2.99,0,,,,,,,
2016-05-20,3.0,3.0,3.0,3.0,5000,,,,,,,
2016-05-23,0.0,0.0,0.0,3.0,0,,,,,,,100.0
2016-05-24,0.0,0.0,0.0,3.0,0,,,,,,,100.0
2016-05-25,3.8,3.8,3.8,3.8,1000,,,,,,,100.0
2016-05-26,0.0,0.0,0.0,3.8,0,,,,,,,100.0
2016-05-27,0.0,0.0,0.0,3.8,0,,,,,,,100.0
2016-05-30,0.0,0.0,0.0,3.8,0,,,,,,,100.0
2016-05-31,0.0,0.0,0.0,3.8,0,,,3.166,0.3797284348195777,2.4065431303608444,3.9254568696391554,100.0
2017-05-02,2.3,2.45,2.2,2.45,8500,,,3.146,0.4068156183929287,2.3323687632141423,3.9596312367858575,37.49999999999999
2017-05-03,2.22,2.27,2.22,2.27,5500,,,3.117,0.44765000426202317,2.221699991475954,4.012300008524046,34.61538461538461
2017-05-04,2.22,2.22,2.22,2.22,1500,,,3.0855000000000006,0.4877928270334272,2.109914345933146,4.061085654066855,33.89121338912133
2017-05-05,2.21,2.21,2.21,2.21,1000,,,3.0535,0.5237242645354115,2.006051470929177,4.100948529070823,33.749999999999986
2017-05-08,2.5,2.5,2.4,2.5,27000,,,3.029,0.5381146424518222,1.9527707150963556,4.105229284903644,40.89219330855018
2017-05-09,2.45,2.51,2.45,2.51,3500,,,3.005,0.5505069434047511,1.9039861131904976,4.106013886809502,41.1111111111111
2017-05-11,2.31,2.55,2.31,2.55,4000,,,2.9829999999999997,0.5598505439659296,1.8632989120681405,4.102701087931859,41.75824175824175
2017-05-12,2.7,2.8,2.7,2.8,1500,,,2.9735,0.5613355784011443,1.8508288431977113,4.0961711568022885,46.644295302013425
2017-05-15,2.5,2.65,2.5,2.58,1000,,,2.9530000000000003,0.5681465711555332,1.8167068576889338,4.0892931423110666,43.4375
2017-05-18,2.31,2.7,2.3,2.7,2500,,,2.9385,0.5708467856015121,1.7968064287969756,4.080193571203024,28.174603174603178
2017-05-19,2.65,2.65,2.65,2.65,500,,,2.9215,0.5742846809177848,1.7729306381644303,4.07006936183557,27.626459143968873
2017-05-23,2.8,2.89,2.73,2.75,27000,,,2.9095,0.5752845977610147,1.7589308044779706,4.060069195522029,30.337078651685403
2017-05-24,2.81,2.81,2.81,2.81,2000,,,2.9,0.5752802520694175,1.749439495861165,4.050560504138835,31.86813186813187
2017-05-25,2.71,2.71,2.71,2.71,1500,,,2.8855,0.5762809530446978,1.7329380939106043,4.038061906089395,30.74204946996467
2017-05-26,2.41,2.41,2.41,2.41,500,,,2.8560000000000003,0.5851441567772221,1.6857116864455561,4.026288313554445,48.87640449438202
2017-05-30,2.4,2.4,2.2,2.2,1000,,,2.776,0.5580360297743469,1.659927940451306,3.8920720595486937,48.066298342541444
2017-05-31,2.21,2.28,2.21,2.28,2000,,,2.7,0.5129173525299331,1.674165294940134,3.7258347050598664,51.63043478260869
2018-05-02,1.99,2.0,1.99,2.0,2500,,,2.6100000000000003,0.46547089908471906,1.6790582018305622,3.540941798169438,45.023696682464454
2018-05-24,1.8,2.0,1.8,2.0,2500,,,2.52,0.391394268844359,1.737211462311282,3.302788537688718,36.26373626373625
2019-05-06,1.08,1.09,1.07,1.07,1500,,,2.3835,0.3974957795207919,1.5885084409584165,3.178491559041584,23.722627737226276
2019-05-27,1.21,1.21,1.21,1.21,500,,,2.3215,0.4756079212301263,1.3702841575397473,3.2727158424602525,26.408450704225345
2020-05-04,0.74,0.8,0.74,0.8,30000,,,2.248,0.5849930273988427,1.0780139452023147,3.4179860547976855,16.666666666666657
2020-05-05,0.85,0.85,0.8,0.8,8000,,,2.177,0.66874666747817,0.83950666504366,3.51449333495634,17.985611510791372
2020-05-06,0.85,0.89,0.75,0.89,8500,,,2.111,0.7278439682413144,0.6553120635173715,3.566687936482629,17.09090909090908
2020-05-07,0.71,0.88,0.71,0.88,34000,,,2.0300000000000002,0.7711304074300003,0.4877391851399997,3.572260814860001,17.3431734317343
2020-05-08,0.0,0.88,0.88,0.88,4000,,,1.9485,0.8031993591421225,0.34210128171575493,3.554898718284245,14.176245210727956
2020-05-11,0.77,0.83,0.7,0.81,121500,,,1.8615,0.8284562371315132,0.20458752573697359,3.5184124742630263,11.832061068702274
2020-05-12,0.85,0.85,0.85,0.85,1500,,,1.764,0.8269372788536599,0.11012544229268029,3.4178745577073197,13.671874999999986
2020-05-13,0.85,0.85,0.75,0.8,20000,,,1.675,0.8302726248521918,0.014454750295616492,3.3355452497043836,15.151515151515142
2020-05-14,0.63,0.9,0.63,0.85,60000,2.3952,,1.5825,0.8129405688124156,-0.0433811376248312,3.2083811376248312,18.604651162790674
2020-05-15,0.8,0.9,0.8,0.86,32500,2.3554000000000004,,1.4929999999999999,0.7873613495319943,-0.08172269906398877,3.0677226990639888,15.865384615384599
2020-05-18,0.86,0.9,0.86,0.9,9000,2.3164,,1.4005,0.7391066798578726,-0.07771335971574511,2.8787133597157455,20.108695652173907
2020-05-19,0.9,0.9,0.9,0.9,3500,2.2774,,1.3050000000000002,0.6673080248281161,-0.029616049656232102,2.639616049656232,20.108695652173907
2021-05-04,2.0,2.15,2.0,2.14,16500,2.2632,,1.2765,0.6142027352592967,0.04809452948140658,2.5049054705185934,74.88372093023257
2021-05-05,1.92,2.01,1.92,1.98,37500,2.2430000000000003,,1.2550000000000001,0.5789509569266792,0.09709808614664173,2.4129019138533585,67.74193548387098
2021-05-06,2.1,2.1,2.0,2.0,3000,2.2232000000000003,,1.245,0.5632845406046684,0.11843091879066336,2.371569081209337,83.70786516853933
2021-05-17,1.91,2.0,1.8,1.89,51500,2.2012,,1.2254999999999998,0.5314179146396947,0.16266417072061046,2.288335829279389,78.83597883597884
2021-05-18,1.8,1.9,1.79,1.84,30500,2.1782,,1.2175,0.5202314768193924,0.1770370463612152,2.257962953638785,75.67567567567568
2021-05-19,1.76,1.86,1.76,1.8,12000,2.1544,,1.2075,0.5061295340751809,0.1952409318496382,2.2197590681503616,74.46808510638297
2021-05-20,1.8,1.92,1.77,1.81,16000,2.1308,,1.2445,0.5223376101214331,0.19982477975713375,2.289175220242866,74.60317460317461
2021-05-21,1.8,2.0,1.79,1.9,72000,2.109,,1.279,0.5423428707687471,0.19431425846250572,2.363685741537494,78.53403141361257
2021-05-24,2.04,2.04,1.95,2.0,41500,2.0892,,1.339,0.5528386078375778,0.23332278432484443,2.4446772156751555,79.18781725888324
2021-05-25,2.0,2.5,2.0,2.43,726000,2.0778,,1.4205,0.5882129492660052,0.2440741014679897,2.5969258985320103,84.68085106382978
2021-05-26,2.4,2.43,2.2,2.34,356500,2.0646,,1.4929999999999999,0.6083982421511694,0.276203515697661,2.7097964843023385,81.1715481171548
2021-05-27,2.25,2.7,2.25,2.36,472000,2.0517999999999996,,1.567,0.6198140637999526,0.3273718724000947,2.806628127599905,81.24999999999999
2021-05-28,2.3,2.3,2.15,2.17,38500,2.0191999999999997,,1.6314999999999997,0.6116266060785446,0.4082467878429106,2.854753212157089,74.90196078431372
2021-05-31,2.48,2.48,2.16,2.32,38500,1.9896,,1.707,0.5979271210651548,0.5111457578696905,2.9028542421303096,76.29629629629629
2022-05-06,2.1,2.26,1.86,1.93,20000,1.9522,,1.761,0.5642778337700424,0.6324443324599152,2.8895556675400846,44.324324324324316
2022-05-09,2.14,2.14,1.9,2.02,4042500,1.9165999999999999,,1.8219999999999998,0.5190537950013121,0.7838924099973756,2.860107590002624,51.12359550561796
2022-05-10,2.01,2.01,1.9,1.9,9000,1.8785999999999998,,1.8745,0.4659509235508561,0.9425981528982879,2.8064018471017125,47.34042553191489
2022-05-11,1.83,2.0,1.73,1.98,40500,1.8692000000000002,,1.9304999999999999,0.40028246605563406,1.1299350678887317,2.731064932111268,52.43243243243243
2022-05-12,2.0,2.0,2.0,2.0,3000,1.8638,,1.9855,0.31844151739369797,1.348616965212604,2.622383034787396,54.39560439560439
