Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2016-05-04,5.1,5.1,5.1,5.1,500,,,,,,,
2016-05-05,0.0,0.0,0.0,5.1,0,,,,,,,
2016-05-06,0.0,0.0,0.0,5.1,0,,,,,,,
2016-05-09,0.0,0.0,0.0,5.1,0,,,,,,,
2016-05-10,5.35,5.36,5.35,5.36,1000,,,,,,,
2016-05-11,0.0,0.0,0.0,5.36,0,,,,,,,
2016-05-12,0.0,0.0,0.0,5.36,0,,,,,,,
2016-05-13,0.0,0.0,0.0,5.36,0,,,,,,,
2016-05-16,0.0,0.0,0.0,5.36,0,,,,,,,
2016-05-17,0.0,0.0,0.0,5.36,0,,,,,,,
2016-05-18,0.0,0.0,0.0,5.36,0,,,,,,,
2016-05-19,0.0,0.0,0.0,5.36,0,,,,,,,
2016-05-20,0.0,0.0,0.0,5.36,0,,,,,,,
2016-05-23,0.0,0.0,0.0,5.36,0,,,,,,,100.0
2016-05-24,0.0,0.0,0.0,5.36,0,,,,,,,100.0
2016-05-25,0.0,0.0,0.0,5.36,0,,,,,,,100.0
2016-05-26,0.0,0.0,0.0,5.36,0,,,,,,,100.0
2016-05-27,5.3,5.3,5.3,5.3,1500,,,,,,,81.24999999999991
2016-05-30,5.1,5.3,5.1,5.3,1500,,,,,,,0.0
2016-05-31,0.0,0.0,0.0,5.3,0,,,5.299,0.10432237485188342,5.090355250296233,5.5076447497037675,0.0
2017-05-02,7.55,7.55,7.05,7.51,1500,,,5.419500000000001,0.5008043530162253,4.417891293967551,6.421108706032451,97.35682819383258
2017-05-03,7.11,7.99,7.11,7.99,4000,,,5.564,0.755787494499681,4.052425011000638,7.075574988999362,97.8181818181818
2017-05-04,7.12,7.99,7.12,7.55,2000,,,5.6865000000000006,0.8669928367335963,3.9525143265328078,7.420485673467193,84.3260188087774
2017-05-05,7.16,8.3,7.16,7.58,7000,,,5.810499999999999,0.9518871837178583,3.9067256325642825,7.714274367435716,84.47204968944098
2017-05-08,7.68,7.8,7.26,7.63,10500,,,5.9239999999999995,1.0276616277027333,3.868676744594533,7.9793232554054665,84.70948012232414
2017-05-09,7.89,7.99,7.27,7.99,5000,,,6.0555,1.1161516356141803,3.8231967287716397,8.287803271228361,86.22589531680438
2017-05-10,7.41,7.99,7.41,7.99,1000,,,6.186999999999999,1.1828337962172384,3.8213324075655226,8.552667592434476,86.22589531680438
2017-05-11,8.0,8.0,8.0,8.0,500,,,6.319,1.2319727440594057,3.8550545118811885,8.782945488118811,86.26373626373625
2017-05-12,8.0,8.0,8.0,8.0,1000,,,6.4510000000000005,1.2648066213748577,3.921386757250285,8.980613242749715,86.26373626373625
2017-05-15,7.16,7.16,7.16,7.16,500,,,6.5409999999999995,1.2470044105776044,4.046991178844791,9.035008821155209,70.08928571428571
2017-05-16,8.16,8.16,8.16,8.16,12500,,,6.681,1.2644903279478583,4.152019344104284,9.209980655895716,75.54744525547444
2017-05-17,8.94,8.94,8.1,8.26,4000,,,6.825999999999999,1.2712919247343368,4.283416150531325,9.368583849468672,76.81159420289855
2017-05-18,9.21,9.21,8.3,8.84,4500,,,7.0,1.2979538553147079,4.404092289370585,9.595907710629415,79.01639344262296
2017-05-19,9.47,9.83,8.6,8.76,15500,,,7.169999999999999,1.2945025461949702,4.580994907610059,9.75900509238994,77.99352750809061
2017-05-22,9.69,9.69,8.61,8.94,10500,,,7.348999999999999,1.2784649512516737,4.7920700974966515,9.905929902503347,67.22891566265059
2017-05-23,8.75,9.23,8.6,8.7,15000,,,7.516,1.2218682847439633,5.0722634305120735,9.959736569487927,59.07928388746802
2017-05-24,8.7,8.7,8.22,8.5,3000,,,7.673,1.128418082282028,5.416163835435944,9.929836164564056,62.942779291553144
