Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2023-06-12,9.0,9.0,9.0,9.0,73500,,,,,,,
2023-06-13,8.0,8.0,8.0,8.0,110500,,,,,,,
2023-06-14,7.0,7.0,7.0,7.0,13000,,,,,,,
2023-06-15,6.0,8.0,6.0,6.04,2895000,,,,,,,
2023-06-16,6.0,6.19,5.65,5.91,174500,,,,,,,
2023-06-19,5.65,5.82,4.91,5.06,305500,,,,,,,
2023-06-20,5.0,6.06,4.76,6.02,629000,,,,,,,
2023-06-21,6.44,6.44,5.5,5.66,871000,,,,,,,
2023-06-22,5.61,5.75,5.25,5.32,121000,,,,,,,
2023-06-23,5.5,5.5,4.95,5.03,146500,,,,,,,
2023-06-26,5.19,5.45,4.98,5.04,338500,,,,,,,
2023-06-27,5.1,5.1,4.8,4.81,100000,,,,,,,
2023-07-03,5.0,5.25,4.99,5.0,132000,,,,,,,
2023-07-04,5.0,5.14,4.9,4.9,116000,,,,,,,18.068535825545183
2023-07-05,5.0,5.0,4.5,4.61,98000,,,,,,,17.287630402384508
2023-07-06,4.61,4.75,4.61,4.65,70000,,,,,,,20.869565217391298
2023-07-07,4.6,5.65,4.51,4.83,717000,,,,,,,27.99188640973631
2023-07-10,4.75,4.93,4.75,4.91,7500,,,,,,,36.04938271604938
2023-07-11,4.75,5.1,4.75,5.05,74500,,,,,,,39.40886699507389
2023-07-12,4.9,5.49,4.9,5.01,437000,,,5.592499999999999,1.1660408722636924,3.2604182554726147,7.924581744527384,49.23076923076923
2023-07-13,5.0,5.5,5.0,5.1,384500,,,5.3975,0.8492837539579104,3.698932492084179,7.096067507915821,30.672268907563023
2023-07-14,5.18,5.2,5.0,5.03,70000,,,5.2490000000000006,0.5905118208184439,4.067976358363113,6.430023641636888,34.92822966507177
2023-07-17,5.05,5.25,5.0,5.07,138500,,,5.1525,0.42334352108199697,4.305812957836006,5.999187042163994,43.01675977653631
2023-07-18,5.2,5.2,5.06,5.1,14000,,,5.1055,0.36821725566358093,4.369065488672838,5.841934511327162,52.28758169934638
2023-07-19,5.1,5.12,4.96,5.05,8500,,,5.0625,0.31580931955182584,4.430881360896349,5.694118639103651,50.318471337579616
2023-07-20,4.98,5.15,4.51,4.99,142500,,,5.058999999999999,0.31622610165579124,4.426547796688417,5.691452203311582,56.42857142857146
2023-07-21,5.0,5.0,4.92,4.98,8500,,,5.007,0.22107631452080753,4.564847370958384,5.449152629041615,49.18032786885247
2023-07-24,4.95,4.95,4.7,4.71,66000,,,4.9595,0.1694099667732184,4.620680066453564,5.298319933546437,43.165467625899254
2023-07-25,4.74,4.8,4.67,4.68,25500,,,4.9275,0.15777649081098627,4.611947018378028,5.243052981621973,53.097345132743335
2023-07-26,4.7,4.83,4.7,4.83,74500,,,4.9174999999999995,0.15727532011026749,4.602949359779465,5.2320506402205345,57.25806451612903
2023-07-27,4.7,4.8,4.7,4.7,12500,,,4.9005,0.1616518350946605,4.577196329810679,5.223803670189321,44.53781512605042
2023-07-31,4.7,4.75,4.5,4.51,42500,,,4.8854999999999995,0.18300057520760263,4.519498849584794,5.251501150415205,34.6153846153846
2023-08-01,4.6,4.7,4.4,4.46,102500,,,4.8585,0.2038646351716792,4.450770729656642,5.266229270343358,25.61983471074379
2023-08-02,4.67,4.67,4.48,4.5,69500,,,4.8385,0.2186628021695259,4.401174395660948,5.275825604339052,28.92561983471073
2023-08-03,4.36,4.61,4.36,4.4,50500,,,4.828,0.234668859638871,4.358662280722259,5.297337719277742,21.311475409836078
2023-08-04,4.59,4.59,4.4,4.49,7500,,,4.82,0.24361315321847923,4.332773693563042,5.3072263064369585,28.225806451612897
2023-08-07,4.31,4.31,4.25,4.26,5500,,,4.791500000000001,0.27384734510498765,4.243805309790026,5.339194690209976,21.678321678321666
2023-08-08,4.25,4.3,4.05,4.15,50000,,,4.7535,0.30723341032682316,4.139033179346353,5.367966820653646,18.54304635761592
2023-08-09,4.01,4.56,4.01,4.2,60500,,,4.711,0.3224723570364272,4.0660552859271455,5.355944714072855,21.854304635761594
