Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2016-05-04,27.0,27.0,27.0,27.0,4500,,,,,,,
2016-05-05,26.5,27.75,26.5,27.75,21000,,,,,,,
2016-05-06,0.0,0.0,0.0,27.75,0,,,,,,,
2016-05-09,0.0,0.0,0.0,27.75,0,,,,,,,
2016-05-10,0.0,0.0,0.0,27.75,0,,,,,,,
2016-05-11,0.0,0.0,0.0,27.75,0,,,,,,,
2016-05-12,0.0,0.0,0.0,27.75,0,,,,,,,
2016-05-13,0.0,0.0,0.0,27.75,0,,,,,,,
2016-05-16,27.0,27.0,26.65,26.65,3000,,,,,,,
2016-05-17,0.0,0.0,0.0,26.65,0,,,,,,,
2016-05-18,26.02,26.02,25.32,25.32,207500,,,,,,,
2016-05-19,25.03,25.32,24.48,24.99,111500,,,,,,,
2016-05-20,24.99,24.99,24.57,24.57,116000,,,,,,,
2016-05-23,24.98,25.29,24.98,25.1,8000,,,,,,,28.69955156950674
2016-05-24,25.47,25.5,25.47,25.5,234500,,,,,,,34.5679012345679
2016-05-25,25.5,25.5,25.5,25.5,1000,,,,,,,22.62773722627736
2016-05-26,25.7,25.85,25.5,25.62,12500,,,,,,,24.82269503546101
2016-05-27,25.5,25.85,25.5,25.7,11000,,,,,,,26.218097447795813
2016-05-30,25.55,25.55,25.5,25.53,1500,,,,,,,25.223214285714292
2016-05-31,25.95,25.95,25.51,25.51,2000,,,26.3945,1.1630878819128971,24.068324236174206,28.720675763825795,25.1111111111111
2016-06-01,25.5,25.5,25.5,25.5,1000,,,26.319499999999998,1.1703282265649813,23.978843546870035,28.66015645312996,25.055432372505535
2016-06-02,0.0,0.0,0.0,25.5,0,,,26.207,1.1331330576396517,23.940733884720697,28.473266115279305,25.055432372505535
2016-06-03,25.95,25.95,25.95,25.95,1000,,,26.117,1.074072917254198,23.968854165491607,28.265145834508395,40.932642487046635
2016-06-06,0.0,0.0,0.0,25.95,0,,,26.026999999999997,1.0031062283044372,24.020787543391123,28.033212456608872,40.932642487046635
2016-06-07,25.1,25.55,25.1,25.55,1500,,,25.917,0.9215267651823051,24.07394646963539,27.760053530364612,53.92491467576793
2016-06-08,25.15,25.15,25.01,25.01,93500,,,25.78,0.8342156732366508,24.1115686535267,27.448431346473303,50.31847133757966
2016-06-09,25.5,26.0,25.49,25.98,61000,,,25.6915,0.6967917079088413,24.297916584182317,27.085083415817685,69.1056910569106
2016-06-10,26.0,26.0,26.0,26.0,1000,,,25.604000000000003,0.5093587299629476,24.585282540074108,26.622717459925898,64.15094339622644
2016-06-13,26.0,26.05,26.0,26.03,2500,,,25.573,0.45869494506869396,24.65561010986261,26.49038989013739,59.43060498220644
2016-06-14,26.0,26.01,26.0,26.01,7000,,,25.541,0.39790107207431313,24.745197855851373,26.336802144148628,59.01060070671382
2016-06-15,26.02,26.02,26.0,26.0,32000,,,25.575,0.40697213146537087,24.761055737069256,26.388944262930742,56.98529411764705
2016-06-16,26.0,26.0,26.0,26.0,11500,,,25.6255,0.3929841968163126,24.839531606367373,26.411468393632624,55.6818181818182
2016-06-17,0.0,0.0,0.0,26.0,0,,,25.697000000000003,0.31273159839001474,25.071536803219974,26.32246319678003,59.51417004048581
