Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2016-05-04,64.4,64.5,61.9,62.0,401500,,,,,,,
2016-05-05,62.2,63.5,62.15,62.75,336500,,,,,,,
2016-05-06,62.66,63.2,62.01,62.52,230000,,,,,,,
2016-05-09,62.5,62.9,61.63,61.82,169500,,,,,,,
2016-05-10,61.62,62.8,61.25,61.49,313500,,,,,,,
2016-05-11,62.3,63.45,61.61,62.55,871500,,,,,,,
2016-05-12,62.4,64.4,61.8,63.47,907000,,,,,,,
2016-05-13,63.5,64.4,62.75,63.31,342500,,,,,,,
2016-05-16,63.6,63.99,62.99,63.05,114000,,,,,,,
2016-05-17,63.5,63.5,61.27,61.63,200500,,,,,,,
2016-05-18,61.63,62.01,61.5,61.72,49000,,,,,,,
2016-05-19,61.61,62.79,61.4,61.62,458000,,,,,,,
2016-05-20,62.0,62.0,61.0,61.12,114500,,,,,,,
2016-05-23,61.95,61.99,60.76,61.01,133000,,,,,,,42.53393665158368
2016-05-24,61.35,61.42,60.5,60.6,108500,,,,,,,40.05681818181817
2016-05-25,60.89,62.25,60.0,61.08,270000,,,,,,,37.66617429837514
2016-05-26,61.45,61.79,60.5,60.64,155500,,,,,,,36.532951289398234
2016-05-27,60.51,60.65,59.5,59.78,153500,,,,,,,35.71428571428568
2016-05-30,60.0,60.4,59.5,59.65,73500,,,,,,,36.743515850144036
2016-05-31,59.75,60.3,59.2,59.34,48500,,,61.557500000000005,1.1873893300230696,59.182721339953865,63.932278660046144,24.071082390953123
2017-05-02,72.31,75.48,71.63,71.63,79500,,,62.039,2.5485866052011112,56.941826789597776,67.13617321040222,73.2346241457859
2017-05-03,69.06,69.95,68.05,68.05,426500,,,62.303999999999995,2.8803570685082183,56.54328586298356,68.06471413701644,61.29647283126788
2017-05-04,67.8,68.0,65.8,67.06,182000,,,62.531000000000006,3.0708731828688647,56.389253634262275,68.67274636573774,59.2353754030401
2017-05-05,65.05,70.4,65.05,67.72,130500,,,62.826,3.275544791971332,56.27491041605734,69.37708958394266,64.53460620525061
2017-05-08,68.5,71.1,68.05,71.1,454000,,,63.30650000000001,3.741033174208202,55.824433651583604,70.78856634841641,69.34818481848187
2017-05-09,72.1,73.13,70.0,71.28,381000,,,63.742999999999995,4.136519131626948,55.4699617367461,72.01603826325389,69.86019736842108
2017-05-10,71.28,71.92,69.31,69.61,39500,,,64.05,4.338124746453177,55.373750507093646,72.72624949290635,66.65358964299728
2017-05-11,69.0,69.98,68.53,68.72,95000,,,64.3205,4.456604176890028,55.40729164621994,73.23370835378006,64.67453368861821
2017-05-12,69.8,71.98,69.8,70.51,206500,,,64.6935,4.652550262744979,55.38839947451004,73.99860052548996,67.92043399638338
2017-05-15,71.0,71.99,68.53,68.89,194000,,,65.0565,4.684062873190319,55.68837425361936,74.42462574638064,63.56373740882252
2017-05-16,68.62,68.89,66.1,67.94,108000,,,65.3675,4.657288430655302,56.0529231386894,74.6820768613106,62.457337883959035
2017-05-17,67.99,68.0,66.5,66.69,193500,,,65.621,4.579912548004422,56.46117490399115,74.78082509600884,61.63691478612327
2017-05-18,66.45,67.49,64.15,65.09,135500,,,65.8195,4.459002101013413,56.90149579797318,74.73750420202683,58.729139922978185
2017-05-19,64.56,68.0,64.56,66.21,84000,,,66.07950000000001,4.313018816999224,57.45346236600156,74.70553763399846,60.744447919924916
2017-05-22,66.1,67.8,66.1,66.66,67000,,,66.3825,4.116183560686169,58.15013287862766,74.61486712137233,37.65524093392946
2017-05-23,66.01,67.88,66.01,66.29,34000,,,66.643,3.9232855457746276,58.79642890845074,74.48957109154925,44.79905437352248
2017-05-24,66.11,69.6,66.11,67.62,176500,,,66.99199999999999,3.6629993462361172,59.66600130752776,74.31799869247223,51.622247972190046
2017-05-25,67.31,70.8,67.1,70.11,157500,,,67.5085,3.303166383622636,60.90216723275473,74.11483276724528,56.25982189628079
2017-05-26,69.1,72.9,69.1,70.76,2447000,,,68.064,2.80930671350179,62.44538657299641,73.68261342700357,48.96088019559906
2017-05-29,70.8,73.4,69.5,72.11,1199500,,,68.7025,2.078209945830134,64.54608010833974,72.85891989166026,52.36737022247576
2017-05-30,71.1,71.99,68.51,68.51,599500,,,68.54650000000001,1.9606692600661497,64.62516147986771,72.4678385201323,47.1736896197328
2017-05-31,69.0,69.0,65.3,66.28,171000,,,68.458,2.0232090195632355,64.41158196087353,72.50441803912646,44.13461538461538
2018-05-02,86.0,88.32,85.5,88.32,1357500,,,69.52099999999999,4.854294788611083,59.812410422777816,79.22958957722216,71.69305724725945
2018-05-03,90.0,91.85,87.0,89.36,1833500,,,70.60300000000001,6.547989727670932,57.50702054465815,83.69897945534187,75.29033852236226
2018-05-04,88.5,90.4,86.52,88.2,527500,,,71.458,7.641418027675493,56.175163944649015,86.74083605535098,74.90167158308753
2018-05-07,88.9,89.75,83.79,84.11,578500,,,72.0995,8.147473276389034,55.804553447221934,88.39444655277808,70.0137867647059
2018-05-08,83.1,84.0,79.91,80.17,911500,,,72.62750000000001,8.318036126394244,55.991427747211524,89.26357225278849,66.44134321849106
2018-05-09,81.0,82.7,76.17,80.48,1042500,,,73.2155,8.442009909718728,56.33148018056255,90.09951981943746,65.83795782463932
2018-05-10,81.3,84.5,80.3,83.84,625000,,,73.882,8.738176733826037,56.40564653234793,91.35835346765208,67.91075896580486
2018-05-11,84.0,84.5,82.0,82.66,310000,68.3426,,74.57050000000001,8.865698224054308,56.8391035518914,92.30189644810862,66.78285831453762
2018-05-14,82.0,82.1,79.0,80.09,367500,68.70439999999999,,75.178,8.80350325005244,57.57099349989512,92.78500650010488,62.46750649870026
2018-05-15,81.0,84.09,81.0,84.06,805000,69.1306,,76.04650000000001,8.778831162458188,58.48883767508363,93.60416232491639,63.546319673723055
2018-05-16,84.99,87.6,84.9,86.29,384000,69.60600000000001,,77.1065,8.665424504437437,59.77565099112512,94.43734900887488,64.63161861692106
2018-05-17,85.55,88.01,83.6,84.96,105000,70.0688,,78.044,8.435725033576235,61.17254993284753,94.91545006715246,62.111215834118745
2018-05-18,84.5,87.0,82.0,85.73,138500,70.5536,,78.9975,8.154312953084494,62.68887409383102,95.30612590616899,67.14456391875746
2018-05-21,87.0,88.0,85.5,85.67,212000,71.01599999999999,,79.96650000000001,7.703813324376538,64.55887335124693,95.37412664875309,70.17689906347553
2018-05-22,85.75,87.24,85.31,86.09,164500,71.4684,,80.89,7.238894216224157,66.41221156755168,95.36778843244832,45.78130911842605
2018-05-23,86.0,90.39,86.0,90.17,512500,72.0056,,81.893,7.054002298061145,67.78499540387772,96.00100459612229,51.37427892772312
2018-05-24,92.4,94.67,92.0,92.44,1018500,72.5934,,82.977,6.917614511254222,69.14177097749156,96.81222902250845,56.93263570961412
2018-05-25,92.0,92.28,90.6,91.05,188500,73.1818,,83.924,6.642605227659209,70.63878954468159,97.20921045531843,62.446197991391664
2018-05-28,90.01,94.3,90.01,93.09,315500,73.8092,,85.15299999999999,5.869525310314295,73.4139493793714,96.89205062062858,74.86528098537333
2018-05-29,93.4,97.74,92.5,97.74,482500,74.53160000000001,,86.726,4.630170395864044,77.46565920827192,95.98634079172808,78.4630606860158
2018-05-30,99.1,102.62,99.1,102.62,505000,75.3616,,87.441,5.83629740232795,75.7684051953441,99.1135948046559,79.49120603015072
2018-05-31,104.3,105.49,100.1,101.77,807000,76.1768,,88.0615,6.653539837441415,74.75442032511717,101.36857967488282,80.32370675975878
2019-05-02,64.01,64.25,63.0,63.15,353500,76.2278,,86.809,8.67637682081876,69.45624635836248,104.16175364163752,37.46299585553582
