Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2016-05-04,0.0,0.0,0.0,6.47,0,,,,,,,
2016-05-05,6.25,6.46,6.25,6.46,4500,,,,,,,
2016-05-06,0.0,0.0,0.0,6.46,0,,,,,,,
2016-05-09,0.0,0.0,0.0,6.46,0,,,,,,,
2016-05-10,6.01,6.46,6.01,6.19,21500,,,,,,,
2016-05-11,6.34,6.34,6.34,6.34,500,,,,,,,
2016-05-12,6.45,6.45,6.05,6.39,14000,,,,,,,
2016-05-13,6.45,6.45,6.03,6.43,1500,,,,,,,
2016-05-16,6.44,6.45,6.44,6.45,1000,,,,,,,
2016-05-17,0.0,0.0,0.0,6.45,0,,,,,,,
2016-05-18,6.42,6.44,6.01,6.22,8500,,,,,,,
2016-05-19,6.5,6.98,5.65,6.43,9000,,,,,,,
2016-05-20,6.37,6.37,6.0,6.33,11000,,,,,,,
2016-05-23,6.44,6.49,6.44,6.49,10000,,,,,,,50.80645161290324
2016-05-24,6.4,6.72,6.4,6.59,100500,,,,,,,54.47761194029851
2016-05-25,6.85,6.86,6.85,6.86,1000,,,,,,,62.500000000000014
2016-05-26,6.24,6.88,6.14,6.7,44500,,,,,,,56.81818181818182
2016-05-27,0.0,0.0,0.0,6.7,0,,,,,,,56.81818181818182
2016-05-30,6.25,6.43,6.01,6.43,34000,,,,,,,56.81818181818179
2016-05-31,0.0,0.0,0.0,6.43,0,,,6.464,0.15615107394679342,6.151697852106413,6.776302147893587,52.795031055900616
2017-05-02,21.25,22.49,21.25,21.8,210000,,,7.230500000000001,3.43285744870915,0.3647851025817008,14.096214897418301,95.51092734790313
2017-05-03,21.61,21.62,21.31,21.62,10000,,,7.988499999999999,4.695341784543934,-1.4021835690878683,17.379183569087868,94.49326303456355
2017-05-04,21.06,22.7,21.03,22.0,12000,,,8.7655,5.623211739136088,-2.4809234782721763,20.011923478272173,94.60699942627653
2017-05-05,22.48,22.98,22.01,22.4,209500,,,9.5625,6.3605270180519184,-3.158554036103837,22.283554036103837,94.7279865395401
2017-05-08,22.0,22.5,21.66,21.87,21000,,,10.3465,6.868990023822166,-3.3914800476443308,24.084480047644334,93.16050744622174
2017-05-09,21.99,22.39,21.65,21.66,5000,,,11.1125,7.242729839384857,-3.372959678769714,25.597959678769715,92.00220628792059
2017-05-10,21.21,21.29,20.58,20.78,88500,,,11.831999999999999,7.460388447626149,-3.0887768952522983,26.752776895252296,88.20729772607088
2017-05-11,20.5,21.81,20.22,21.81,95000,,,12.601,7.664141315585404,-2.727282631170807,27.929282631170807,88.72598584428717
2017-05-12,22.7,22.9,22.6,22.9,83500,,,13.423499999999999,7.849728976213129,-2.2759579524262588,29.122957952426255,89.26336061627347
