Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2025-07-30,91.05,91.05,91.05,91.05,62500000,,,,,,,
2025-09-02,0.0,0.0,0.0,91.05,5000000,,,,,,,
2025-10-31,93.58,93.58,93.58,93.58,500000,,,,,,,
2025-11-04,93.63,93.63,93.63,93.63,500000,,,,,,,
2025-12-16,95.03,95.03,95.03,95.03,10000,,,,,,,
2025-12-18,95.12,95.12,94.7,94.7,20000,,,,,,,
2025-12-19,95.22,95.22,95.22,95.22,1020000,,,,,,,
2025-12-24,94.42,95.41,94.42,95.41,19000000,,,,,,,
2025-12-26,95.52,95.52,95.52,95.52,112490000,,,,,,,
2025-12-29,95.57,95.57,95.57,95.57,5000,,,,,,,
2025-12-30,95.05,95.65,95.05,95.65,1100000,,,,,,,
2025-12-31,95.07,95.7,95.07,95.67,105000,,,,,,,
2026-01-02,95.82,95.82,95.82,95.82,100000,,,,,,,
2026-01-05,95.85,95.85,95.85,95.85,100000,,,,,,,93.95604395604398
2026-01-06,95.89,95.89,95.89,95.89,50000,,,,,,,94.00000000000003
2026-01-07,95.94,95.94,95.94,95.94,500000,,,,,,,94.05405405405408
2026-01-08,95.98,95.98,95.98,95.98,1000000,,,,,,,89.21568627450986
2026-01-09,96.08,96.08,96.08,96.08,500000,,,,,,,89.3890675241158
2026-01-12,96.11,96.11,96.11,96.11,500000,,,,,,,81.03448275862073
2026-01-13,96.15,96.15,96.15,96.15,505000,,,94.995,1.5325228597934406,91.92995428041313,98.06004571958688,100.0
2026-01-14,96.2,96.2,96.2,96.2,500000,,,95.2525,1.239413592240927,92.77367281551814,97.73132718448186,100.0
2026-01-15,95.6,96.23,95.6,96.23,15500000,,,95.5115,0.7657007454475357,93.98009850910492,97.04290149089508,100.0
2026-01-16,95.77,95.77,95.41,95.5,4000000,,,95.60749999999999,0.6166452106271745,94.37420957874563,96.84079042125434,49.3055555555557
2026-01-22,0.0,0.0,0.0,95.5,55000000,,,95.701,0.4072358685473698,94.88652826290526,96.51547173709473,47.48201438848948
2026-01-27,0.0,0.0,0.0,95.5,25000000,,,95.7245,0.37906359694155084,94.96637280611691,96.4826271938831,44.27480916030514
2026-01-28,95.65,95.65,95.42,95.42,40000000,,,95.76050000000001,0.3032538453784083,95.1539923092432,96.36700769075682,40.875912408759156
2026-01-29,95.45,95.49,95.45,95.49,1050000,,,95.774,0.28327780673646624,95.20744438652707,96.34055561347293,37.209302325581525
2026-02-06,95.74,95.74,95.74,95.74,60000,,,95.7905,0.2702722798644096,95.24995544027118,96.33104455972881,46.35761589403977
2026-02-10,95.85,95.85,95.85,95.85,5000000,,,95.80699999999999,0.26286077964129734,95.28127844071739,96.33272155928259,48.734177215189675
2026-02-11,95.88,95.88,95.88,95.88,5000,,,95.8225,0.2572296741495877,95.30804065170084,96.33695934829917,48.07692307692301
2026-02-20,96.16,96.16,96.16,96.16,50000,,,95.84799999999998,0.2644079782217471,95.31918404355649,96.37681595644348,54.9999999999998
2026-02-23,96.19,96.19,96.19,96.19,5000,,,95.874,0.2714561125717631,95.33108777485647,96.41691222514352,53.17919075144506
2026-02-26,96.26,96.26,96.26,96.26,5000,,,95.89599999999999,0.2843718840198413,95.3272562319603,96.46474376803967,54.23728813559336
2026-02-27,96.35,96.35,96.35,96.35,5000,,,95.921,0.30157306874025464,95.3178538625195,96.52414613748051,55.4945054945052
2026-03-03,96.38,96.38,96.38,96.38,1000000,,,95.94550000000001,0.31835886735097024,95.30878226529806,96.58221773470196,54.9999999999998
2026-03-04,96.41,96.41,96.41,96.41,1005000,,,95.96900000000001,0.3348511059528314,95.29929778809435,96.63870221190567,54.9999999999998
2026-03-05,96.29,96.5,96.29,96.48,1055000,,,95.994,0.3538420700344371,95.28631585993112,96.70168414006888,92.98245614035103
2026-03-06,96.55,96.55,96.32,96.32,2600000,,,96.006,0.36091112771041384,95.28417774457917,96.72782225542083,81.53846153846101
