Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2023-01-26,0.0,100.0,100.0,100.0,5000000,,,,,,,
2023-04-04,83.87,83.87,83.87,83.87,5000000,,,,,,,
2023-04-12,84.64,84.64,84.64,84.64,5000000,,,,,,,
2024-08-30,0.0,0.0,0.0,0.0,0,,,,,,,
2024-09-02,0.0,0.0,0.0,0.0,0,,,,,,,
2024-09-03,0.0,0.0,0.0,0.0,0,,,,,,,
2024-09-04,0.0,0.0,0.0,0.0,0,,,,,,,
2024-09-05,0.0,0.0,0.0,0.0,0,,,,,,,
2024-09-06,0.0,0.0,0.0,0.0,0,,,,,,,
2024-09-09,0.0,0.0,0.0,0.0,0,,,,,,,
2024-09-10,0.0,0.0,0.0,0.0,0,,,,,,,
2024-09-11,0.0,0.0,0.0,0.0,0,,,,,,,
2024-09-12,0.0,0.0,0.0,0.0,0,,,,,,,
2024-09-13,0.0,0.0,0.0,0.0,0,,,,,,,0.7583218436084422
2024-09-16,0.0,0.0,0.0,0.0,0,,,,,,,0.7583218436084422
2024-09-18,0.0,0.0,0.0,0.0,0,,,,,,,0.9015337782460904
2024-09-19,0.0,0.0,0.0,0.0,0,,,,,,,0.0
2024-09-20,0.0,0.0,0.0,0.0,0,,,,,,,
2024-09-23,0.0,0.0,0.0,0.0,0,,,,,,,
2024-09-24,0.0,0.0,0.0,0.0,0,,,13.4255,32.921937570882015,-52.41837514176403,79.26937514176403,
2024-09-25,0.0,0.0,0.0,0.0,0,,,8.4255,25.93344263890282,-43.441385277805644,60.29238527780564,
2024-09-26,0.0,0.0,0.0,0.0,0,,,4.232,18.926079361558216,-33.62015872311643,42.08415872311643,
