Date,Open,High,Low,Close,Volume
2025-02-26,0.0,0.0,0.0,100.0,62500000
2025-04-15,97.15,97.15,97.15,97.15,25000000
2025-04-17,97.28,97.28,97.28,97.28,100000
2025-04-18,100.0,100.0,100.0,100.0,5000
2025-04-21,99.0,99.0,99.0,99.0,1000000
2025-04-22,97.75,97.75,97.75,97.75,5000
2025-04-23,98.1,98.1,98.1,98.1,2000000
2025-04-24,97.7,97.7,97.7,97.7,1000005000
2025-04-28,0.0,0.0,0.0,97.7,1000000000
2025-04-30,97.56,97.56,97.56,97.56,5000
2025-07-10,99.9,99.9,99.9,99.9,2000000000
2025-07-16,99.7,99.7,99.7,99.7,50000000
2026-01-16,0.0,0.0,0.0,99.7,60500000
2026-03-27,97.5,97.5,97.5,97.5,122900000
2026-03-30,97.4,97.4,97.4,97.4,62500000
2026-04-02,97.6,97.6,97.6,97.6,80000000
2026-04-09,96.34,96.34,96.34,96.34,7500000
