Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2016-05-04,31.31,31.83,30.8,31.14,623500,,,,,,,
2016-05-05,31.01,31.49,30.65,30.71,586500,,,,,,,
2016-05-06,31.01,32.23,30.8,31.89,899000,,,,,,,
2016-05-09,32.24,32.79,31.55,32.29,698000,,,,,,,
2016-05-10,32.49,32.49,31.66,31.79,536500,,,,,,,
2016-05-11,31.55,32.3,31.31,31.53,531500,,,,,,,
2016-05-12,31.79,32.38,31.57,31.93,457000,,,,,,,
2016-05-13,32.39,33.52,32.38,33.52,1494000,,,,,,,
2016-05-16,34.25,35.0,33.05,33.76,1358500,,,,,,,
2016-05-17,33.95,35.44,33.1,35.37,1941500,,,,,,,
2016-05-18,35.5,36.88,34.95,36.7,1893500,,,,,,,
2016-05-19,37.19,37.25,36.0,36.22,950500,,,,,,,
2016-05-20,37.24,37.24,36.05,36.82,645000,,,,,,,
2016-05-23,36.86,37.5,36.3,36.45,830000,,,,,,,78.27476038338659
2016-05-24,36.5,37.1,35.89,36.17,528000,,,,,,,76.00827300930715
2016-05-25,36.51,37.87,36.01,36.94,1397500,,,,,,,81.1188811188811
2016-05-26,37.43,37.48,36.0,36.18,477000,,,,,,,72.36704900938477
2016-05-27,36.15,37.35,35.9,37.1,1028500,,,,,,,73.78832838773494
2016-05-30,37.4,37.4,35.25,35.28,897500,,,,,,,65.26684164479441
2016-05-31,35.0,36.08,33.52,34.0,730500,,,34.2895,2.267215948668041,29.755068102663913,38.82393189733608,59.91967871485943
2016-06-01,34.45,35.0,34.22,34.59,334500,,,34.462,2.142808290169944,30.176383419660116,38.747616580339894,60.52215189873418
2016-06-02,34.96,35.23,34.16,34.35,427500,,,34.644,1.953586176079368,30.736827647841263,38.55117235215874,53.675819309123106
2016-06-03,33.95,34.55,33.13,33.39,572500,,,34.719,1.8692663914234504,30.9804672171531,38.457532782846904,48.45961698584514
2016-06-06,33.5,35.05,32.99,34.19,925500,,,34.81400000000001,1.7857370585014043,31.2425258829972,38.385474117002815,44.732142857142854
2016-06-07,34.2,34.6,33.61,33.73,243500,,,34.910999999999994,1.6611755507851362,31.58864889842972,38.233351101570264,35.624394966118075
2016-06-08,34.0,34.25,33.8,33.92,117000,,,35.0305,1.4813915044557497,32.0677169910885,37.993283008911504,38.54581673306775
2016-06-09,34.05,34.29,32.23,32.4,577500,,,35.054,1.4325406212666125,32.18891875746678,37.919081242533224,29.83576642335767
2016-06-10,32.6,32.85,30.78,30.79,510500,,,34.917500000000004,1.692820365388386,31.531859269223233,38.303140730776775,26.803278688524586
2016-06-13,29.61,31.6,29.5,31.14,339000,,,34.7865,1.8783202882530818,31.029859423493832,38.54314057650616,29.50285248573759
2016-06-14,31.74,32.34,31.5,31.91,211500,,,34.6135,1.9784211541423322,30.65665769171534,38.570342308284665,29.502852485737606
2016-06-15,32.34,33.2,31.95,32.51,367500,,,34.404,1.9676633216504302,30.468673356699142,38.339326643300865,34.847233691164334
2016-06-16,32.35,33.3,32.35,32.52,280000,,,34.219,1.961865116882934,30.295269766234135,38.14273023376587,29.55357142857146
2016-06-17,32.31,32.69,30.9,30.99,402500,,,33.9275,1.9880058111743895,29.951488377651224,37.90351162234878,30.33913840513293
2016-06-20,31.5,32.53,30.57,32.38,424500,,,33.724000000000004,1.923465622255824,29.877068755488356,37.570931244511655,42.649727767695126
2016-06-21,32.4,33.49,32.21,32.47,292500,,,33.539,1.8524490191152463,29.83410196176951,37.2438980382305,39.92395437262356
2016-06-22,32.5,33.25,32.5,32.77,244000,,,33.3305,1.6757542685074798,29.978991462985043,36.68200853701496,42.533081285444254
2016-06-23,32.8,33.89,32.71,33.6,219000,,,33.2015,1.5385409184986674,30.12441816300267,36.27858183699734,51.004784688995215
2016-06-24,33.2,33.3,31.92,32.23,373500,,,32.958,1.2467794301192185,30.46444113976156,35.451558860238435,41.10707803992742
2016-06-27,31.95,32.65,31.75,31.77,71000,,,32.782500000000006,1.1456640225788526,30.4911719548423,35.07382804515771,41.10707803992744
2016-06-28,32.0,32.0,30.9,31.05,203000,,,32.635000000000005,1.1703013557019708,30.294397288596063,34.975602711403944,37.575757575757585
2016-06-29,31.6,32.6,31.5,32.6,507500,,,32.5355,1.0761455340827695,30.38320893183446,34.68779106816554,50.863557858376524
2016-06-30,32.5,33.25,31.99,32.41,386500,,,32.4385,0.9877900639945146,30.462919872010968,34.414080127989024,57.97244094488187
2016-07-04,32.9,33.6,32.86,33.21,214500,,,32.429500000000004,0.9794492276139971,30.47060154477201,34.388398455228,59.7549481621112
2016-07-11,34.87,34.87,34.15,34.34,489000,,,32.437,0.9941041987109346,30.44879160257813,34.42520839742187,61.07566089334548
2016-07-12,34.36,34.58,33.6,34.03,300500,,,32.452000000000005,1.016648777524509,30.418702444950988,34.48529755504902,57.11610486891386
2016-07-13,33.81,34.49,32.52,32.81,615500,,,32.396499999999996,0.9610699903314857,30.474360019337023,34.318639980662965,51.21951219512195
2016-07-14,33.0,33.5,32.52,32.76,819000,,,32.4145,0.9645040994701418,30.485491801059712,34.34350819894028,58.50144092219019
2016-07-15,33.0,33.6,32.51,32.63,421000,,,32.5065,0.8859504263189388,30.734599147362125,34.27840085263788,51.36612021857923
2016-07-18,32.99,33.01,32.3,32.76,431500,,,32.5875,0.8265010268404952,30.93449794631901,34.24050205368099,51.5778019586507
2016-07-19,32.63,32.94,32.5,32.72,204500,33.3752,,32.628,0.8112602282219363,31.005479543556127,34.25052045644387,49.72004479283312
2016-07-20,32.55,33.15,32.55,32.92,353500,33.4108,,32.6485,0.8132991616347336,31.021901676730533,34.27509832326947,45.90361445783133
2016-07-21,33.19,34.15,33.06,33.96,969500,33.47580000000001,,32.7205,0.8635146967938169,30.993470606412366,34.44752939358764,60.85319949811796
2016-07-22,34.0,34.35,33.61,33.87,647000,33.5154,,32.8645,0.7973474115696425,31.269805176860714,34.459194823139285,63.81578947368418
2016-07-25,33.5,35.56,33.31,35.46,3341000,33.5788,,33.0185,0.9762186715776371,31.06606265684473,34.97093734315528,76.03305785123962
2016-07-26,36.0,36.84,35.0,35.47,2308000,33.6524,,33.1685,1.1089600391452399,30.950579921709522,35.386420078290485,70.70707070707064
2016-07-27,35.99,35.99,34.4,34.74,1037000,33.7166,,33.267,1.1581023498083132,30.950795300383376,35.58320469961663,65.59571619812587
2016-07-28,34.75,36.14,34.6,35.08,1458000,33.7796,,33.340999999999994,1.2258054280220727,30.88938914395585,35.79261085604414,63.33808844507845
2016-07-29,35.9,36.83,35.3,36.83,1443000,33.8458,,33.571000000000005,1.422195855932484,30.726608288135036,36.41539171186497,66.31716906946264
2016-08-01,37.0,38.67,37.0,37.82,3855000,33.927,,33.87349999999999,1.644935689032426,30.58362862193514,37.163371378064845,72.80385078219014
2016-08-02,37.82,37.85,37.0,37.07,1008500,33.961,,34.1745,1.6518553364721529,30.870789327055697,37.47821067294431,77.16836734693878
2016-08-03,37.16,38.14,37.05,37.55,1154000,33.977999999999994,,34.422,1.7701281547420447,30.881743690515908,37.96225630948409,78.96009673518746
2016-08-04,37.9,39.39,37.7,38.12,3876500,34.016000000000005,,34.707499999999996,1.8852694209246685,30.93696115815066,38.47803884184933,81.51549942594718
2016-08-05,38.12,38.9,38.0,38.07,934000,34.041,,34.9505,1.9922678825372417,30.965964234925515,38.93503576507448,80.76477404403248
2016-08-08,38.3,39.4,37.6,37.98,1621000,34.0716,,35.13250000000001,2.0970678150819495,30.93836436983611,39.326635630163906,80.2995391705069
2016-08-09,38.14,38.2,37.41,37.53,516000,34.098800000000004,,35.3075,2.1456955074115864,31.016108985176825,39.59889101482317,75.81187010078389
2016-08-10,37.85,39.2,37.71,38.56,3125500,34.1312,,35.595,2.178414440294629,31.23817111941074,39.951828880589254,75.78475336322872
2016-08-11,39.0,40.48,39.0,40.48,3074500,34.2172,,35.981,2.3284327233932203,31.32413455321356,40.63786544678644,80.74418604651166
2016-08-12,41.05,42.5,41.05,42.5,1589000,34.3252,,36.4745,2.6097761045326133,31.25494779093477,41.69405220906523,81.48479427549199
2016-08-15,44.0,44.62,43.85,44.62,2124000,34.512,,37.0675,3.034246416458198,30.999007167083604,43.1359928329164,84.42437923250567
2016-08-16,45.99,46.85,43.8,46.75,3172000,34.767,,37.769,3.5536073591714987,30.661785281657,44.87621471834299,90.87814840027231
2016-08-17,46.4,48.3,45.5,46.58,2901000,35.0068,,38.452,3.8711178855997725,30.709764228800452,46.194235771199544,89.60055096418733
2016-08-18,46.85,48.28,46.7,46.93,1573500,35.2584,,39.1005,4.15497732592457,30.790545348150857,47.410454651849136,88.4908536585366
2016-08-19,47.16,48.75,45.77,48.14,1472500,35.553399999999996,,39.814,4.425914594747612,30.962170810504777,48.66582918949523,88.68065967016493
2016-08-22,49.15,50.0,48.55,49.54,2087500,35.8604,,40.518,4.800828437281469,30.916343125437063,50.119656874562935,94.56754824874912
2016-08-23,49.4,51.42,49.3,49.91,1797500,36.184,,41.239999999999995,5.079436354971919,31.08112729005616,51.39887270994383,94.52449567723345
2016-08-24,49.92,50.4,47.91,48.08,1555500,36.4672,,41.907,5.056786060647392,31.793427878705213,52.02057212129478,82.89299867899605
2016-08-25,48.0,49.1,47.1,48.48,1228500,36.7888,,42.577,4.9919357072445365,32.593128585510925,52.56087141448907,83.60232408005164
2016-08-26,48.5,49.4,47.45,47.78,937000,37.1286,,43.1245,4.928526495926796,33.267447008146405,52.98155299185359,80.43478260869568
2016-08-29,48.25,49.98,48.0,48.89,1145500,37.4836,,43.678000000000004,4.9230559614938185,33.831888077012366,53.52411192298764,83.89021479713605
2016-08-30,49.3,49.6,47.0,48.07,1650500,37.806799999999996,,44.227999999999994,4.757637184459023,34.71272563108195,53.74327436891804,78.73111782477342
2016-08-31,47.9,48.75,47.15,47.57,787000,38.108,,44.729,4.539999884071389,35.64900023185722,53.808999768142776,73.43027098479843
2016-09-01,47.98,49.39,47.15,48.39,1152500,38.425399999999996,,45.2425,4.329037665031681,36.58442466993664,53.90057533006336,71.14142139267769
2016-09-02,48.7,49.09,46.0,46.98,888000,38.7452,,45.688,3.9978646932159854,37.692270613568034,53.68372938643197,58.925869894099854
2016-09-05,47.99,47.99,46.1,46.22,375000,39.022000000000006,,46.1,3.5626010604317258,38.97479787913655,53.22520212086345,47.76371308016877
2016-09-06,46.49,46.98,45.6,45.89,631000,39.2904,,46.518,2.940239159624478,40.63752168075104,52.39847831924896,47.12739383846795
2016-09-07,46.23,47.4,45.61,46.69,1138000,39.5688,,46.9245,2.2670418355668494,42.3904163288663,51.4585836711337,49.03691813804173
2016-09-08,47.0,47.3,45.65,45.75,559000,39.8118,,47.188,1.718465043363681,43.75106991327264,50.62493008672737,40.19688269073009
2016-09-09,45.7,46.89,45.4,45.58,406000,40.078799999999994,,47.342,1.3811383558117982,44.5797232883764,50.1042767116236,31.934306569343036
2016-09-15,46.0,46.9,45.5,45.89,743000,40.3612,,47.4055,1.274480182993005,44.85653963401399,49.954460365986016,31.559633027522935
2016-09-16,45.75,47.5,45.5,46.88,769500,40.6778,,47.412,1.2712886127240675,44.869422774551865,49.95457722544813,44.0357852882704
2016-09-19,46.64,47.84,46.25,46.45,716500,40.9548,,47.4055,1.2760897303872398,44.85332053922552,49.957679460774486,39.94053518334987
2016-09-20,46.6,46.95,45.1,45.72,649500,41.221000000000004,,47.345,1.3274689014098622,44.690062197180275,49.99993780281972,39.82213438735177
2016-09-21,45.7,46.2,43.44,43.44,846000,41.425599999999996,,47.11,1.5726912903480548,43.96461741930389,50.25538258069611,25.863596102745788
2016-09-22,42.51,44.78,42.3,43.83,590500,41.6154,,46.82449999999999,1.6257321427590086,43.573035714481975,50.07596428551801,30.478821362799266
2016-09-23,43.1,43.5,41.64,41.64,1588500,41.7676,,46.411,1.8375638907617309,42.73587221847654,50.086127781523466,26.37450199203188
2016-09-26,41.89,42.5,39.6,39.84,1022500,41.90820000000001,,45.999,2.3073541466135103,41.384291706772984,50.61370829322702,18.40354767184037
2016-09-27,40.24,41.83,40.2,41.83,882000,42.0896,,45.6665,2.4079676405414117,40.85056471891718,50.48243528108282,31.750531537916373
2016-09-28,42.51,43.92,42.51,43.92,799500,42.3154,,45.473499999999994,2.3842272829665268,40.70504543406694,50.24195456593305,42.5518134715026
2016-09-29,45.5,46.11,43.92,44.72,2198000,42.5546,,45.265,2.248181721443226,40.76863655711355,49.76136344288645,46.323067253299804
2016-09-30,44.95,45.97,44.03,44.26,472500,42.7854,,45.0745,2.157585090107105,40.75932981978579,49.38967018021421,42.19653179190751
2016-10-03,44.89,45.0,43.01,43.65,600000,43.0,,44.878499999999995,2.0961324661836938,40.68623506763261,49.07076493236738,43.11023622047244
2016-10-04,44.05,44.48,42.92,43.04,443000,43.181599999999996,,44.611000000000004,1.9614707156674356,40.688058568665134,48.533941431334874,41.900510204081634
2016-10-05,43.2,44.0,43.0,43.3,418500,43.3702,,44.427,1.8991607564783048,40.62867848704339,48.22532151295661,41.714651311580276
2016-10-06,43.21,43.89,42.82,43.03,596000,43.52160000000001,,44.2675,1.8744455320524693,40.51860893589506,48.01639106410494,37.08920187793426
