Date,Open,High,Low,Close,Volume,SMA_50,SMA_200,SMA_20,STD_20,BBL_20_2.0,BBU_20_2.0,RSI_14
2016-05-04,1.24,1.32,1.05,1.3,339500,,,,,,,
2016-05-05,1.25,1.25,1.25,1.25,1500,,,,,,,
2016-05-06,1.25,1.25,1.15,1.19,51500,,,,,,,
2016-05-09,1.25,2.19,1.25,1.38,845000,,,,,,,
2016-05-10,1.27,1.39,1.25,1.39,36000,,,,,,,
2016-05-11,1.26,1.34,1.26,1.34,5500,,,,,,,
2016-05-12,1.3,1.3,1.3,1.3,500,,,,,,,
2016-05-13,1.3,1.35,1.25,1.28,47000,,,,,,,
2016-05-16,1.37,1.37,1.37,1.37,1500,,,,,,,
2016-05-17,1.39,1.4,1.3,1.31,75000,,,,,,,
2016-05-18,1.27,1.27,1.25,1.26,40500,,,,,,,
2016-05-19,0.0,0.0,0.0,1.26,0,,,,,,,
2016-05-20,0.0,0.0,0.0,1.26,0,,,,,,,
2016-05-23,1.29,1.29,1.27,1.27,12500,,,,,,,47.61904761904762
2016-05-24,1.25,1.37,1.25,1.37,2000,,,,,,,54.794520547945204
2016-05-25,0.0,0.0,0.0,1.37,0,,,,,,,58.82352941176471
2016-05-26,1.29,1.3,1.29,1.3,10500,,,,,,,57.971014492753625
2016-05-27,0.0,0.0,0.0,1.3,0,,,,,,,42.00000000000002
2016-05-30,0.0,0.0,0.0,1.3,0,,,,,,,40.816326530612265
2016-05-31,1.26,1.26,1.24,1.24,5500,,,1.302,0.053861420623475494,1.194277158753049,1.4097228412469511,40.0
2016-06-01,0.0,0.0,0.0,1.24,0,,,1.299,0.055620897246685265,1.1877582055066294,1.4102417944933705,43.47826086956522
2016-06-02,1.25,1.25,1.25,1.25,1000,,,1.299,0.055620897246685265,1.1877582055066294,1.4102417944933705,46.666666666666664
2016-06-03,0.0,0.0,0.0,1.25,0,,,1.302,0.05084548316118886,1.2003090336776223,1.4036909663223778,33.33333333333333
2016-06-06,0.0,0.0,0.0,1.25,0,,,1.2955,0.04860961568292958,1.198280768634141,1.3927192313658592,39.99999999999999
2016-06-07,0.0,0.0,0.0,1.25,0,,,1.2885000000000002,0.04416178390752292,1.2001764321849544,1.376823567815046,47.99999999999999
2016-06-08,0.0,0.0,0.0,1.25,0,,,1.284,0.04321305845520133,1.1975738830895974,1.3704261169104026,47.99999999999999
2016-06-09,0.8,1.3,0.8,1.3,1500,,,1.2840000000000003,0.04321305845520133,1.1975738830895977,1.3704261169104028,56.666666666666664
2016-06-10,0.0,0.0,0.0,1.3,0,,,1.285,0.0433468265092275,1.198306346981545,1.371693653018455,55.17241379310345
2016-06-13,1.44,1.44,1.44,1.44,500,,,1.2885,0.05244295146056094,1.1836140970788782,1.3933859029211217,60.60606060606057
2016-06-14,0.0,0.0,0.0,1.44,0,,,1.2950000000000002,0.06236564506369304,1.170268709872614,1.4197312901273862,60.60606060606057
2016-06-15,1.38,1.44,1.38,1.42,17000,,,1.303,0.06767569726275463,1.1676486054744908,1.438351394525509,71.4285714285714
2016-06-16,0.0,0.0,0.0,1.42,0,,,1.3110000000000002,0.07166442264948644,1.1676711547010272,1.454328845298973,71.4285714285714
2016-06-17,0.0,0.0,0.0,1.42,0,,,1.319,0.0745442291882019,1.1699115416235961,1.4680884583764038,71.4285714285714
2016-06-20,0.0,0.0,0.0,1.42,0,,,1.3265,0.07686454250652154,1.172770914986957,1.480229085013043,90.9090909090909
2016-06-21,0.0,0.0,0.0,1.42,0,,,1.329,0.07913346487522145,1.170733070249557,1.4872669297504428,90.9090909090909
2016-06-23,0.0,0.0,0.0,1.42,0,,,1.3315000000000001,0.08125819796698741,1.1689836040660253,1.494016395933975,90.47619047619047
2016-06-24,0.0,0.0,0.0,1.42,0,,,1.3375,0.08321658488546627,1.1710668302290674,1.5039331697709324,90.47619047619047
2016-06-28,0.0,0.0,0.0,1.42,0,,,1.3435000000000001,0.08468362173096812,1.174132756538064,1.5128672434619364,90.47619047619047
2016-06-29,0.0,0.0,0.0,1.42,0,,,1.3495,0.08568454997993029,1.1781309000401394,1.5208690999598604,90.47619047619047
